"date","central","observed_low","observed_high"
2020-01-01,3,4,3
2020-02-01,3,4,4
2020-03-01,4,5,4
2020-04-01,4,5,4
2020-05-01,3,4,4
2020-06-01,3,4,4
2020-07-01,4,4,4
2020-08-01,4,5,4
2020-09-01,4,4,4
2020-10-01,4,5,4
2020-11-01,3,4,3
2020-12-01,3,4,3
2021-01-01,3,3,3
2021-02-01,3,4,3
2021-03-01,4,4,4
2021-04-01,3,4,4
2021-05-01,3,4,3
2021-06-01,3,4,3
2021-07-01,3,4,3
2021-08-01,4,4,4
2021-09-01,3,4,3
