"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000179362441377184,-1.46054020789121e-06,6.83989228084025e-06,-8.36576478782877e-06,1.07192505908856e-06,-2.15251594699301e-06,1.00284257869776e-06,-4.25482414304798e-06,-2.27037861834301e-06,-4.4833429885866e-06,8.95991374185773e-06,-3.57449307967776e-06,-8.61053373992969e-06,6.11289908901017e-06,-7.73507858317935e-06,4.25345017446682e-06,7.46160379928694e-06,7.52483714555962e-07,-8.76542056329446e-06,1.80226608261175e-06,-7.78364945937214e-06,1.65781902157137e-05,-6.68534353203196e-06,-3.37120262154862e-06,4.76645397498954e-07,2.65390830119521e-09,-2.71320767196236e-06,8.20484467414714e-06,-2.81623991970518e-06,-1.80376024644231e-06,1.03622814915765e-05,-1.765835794156e-05,-9.6011614666482e-06,-5.55300708616978e-06,2.25003712184375e-06,-1.08527186274326e-05,-3.20231961619387e-06,-4.05872714707914e-06,3.86709396877301e-06,-3.33326892146808e-06,-1.30107487315553e-06,5.12514418629202e-06,3.90263454165883e-06,0.000416408909509228,0.000845854488893182,-7.34321313634514e-05,0.000170326212846207
"kabwe","beta1",-1.46054020789121e-06,0.000101547072680925,-4.47974652177581e-07,-1.56563097994102e-06,3.79467655672939e-06,-8.25913859348785e-07,2.30464179270247e-06,5.21561519541012e-07,-1.67175411175772e-06,-4.94702460603077e-07,-5.15916591768924e-06,5.23640638196115e-06,7.18510612099986e-06,-1.11651491472239e-06,-1.04903232696097e-05,3.47674783173385e-06,7.26527191742161e-06,2.39314761588599e-06,-1.53828474155788e-06,4.25107454612309e-06,-3.53642440194662e-06,1.24844876158622e-07,6.57201812977274e-07,-5.01077701435383e-06,1.22725586407935e-05,-3.59268070099955e-06,2.38800633943834e-06,-2.42375853162115e-06,8.59838150410239e-06,-1.49624990423985e-06,8.61367328005818e-06,-5.42305157416316e-06,7.67149046103829e-06,-1.06951326952578e-05,-2.09478946801085e-06,4.34406791002017e-07,-8.14757117382418e-06,1.40032535855632e-05,-2.38611388115641e-06,-9.28561344520117e-06,6.82137807282114e-07,-2.21785273959475e-06,2.59929076983614e-06,-0.000143373047775073,0.000121398489110298,-4.25528975744555e-06,0.00147300416189019
"kabwe","beta10",6.83989228084025e-06,-4.47974652177581e-07,3.31885603906839e-05,-8.1289983036587e-06,-4.67326268067761e-06,-8.07935368516067e-07,1.09970286577107e-06,1.6956321462487e-06,-1.84048148393375e-06,-1.81216483963216e-06,5.53625355575227e-06,-6.76646455821036e-07,8.48651262122902e-07,3.06304454572164e-06,-1.94269542885682e-06,2.85246106856e-06,3.34892184122577e-06,-4.21520831673241e-06,2.28072847187102e-06,-1.5735076619221e-06,3.09509448034377e-06,-1.1130337139469e-06,-1.24824423165146e-06,-1.28415205765478e-07,2.40932802232812e-06,7.39758930279177e-07,-3.35712916867373e-06,6.04074224535794e-06,-4.19826341420207e-06,1.13620819564216e-06,-9.00323196608334e-07,1.75370524291468e-06,-5.39963181603952e-07,-2.03688258643651e-06,2.58502400226646e-06,4.77893418657756e-07,-9.64410960099518e-07,6.76082034521112e-08,1.69884773567777e-07,7.9275698466413e-07,-3.31034333238629e-06,-6.24628989530427e-06,-1.00323982182924e-05,0.000147935898247656,1.52451154850848e-05,-1.04966440112611e-05,-0.000172218995085848
"kabwe","beta11",-8.36576478782877e-06,-1.56563097994102e-06,-8.1289983036587e-06,2.29556360974583e-05,-8.61017102451195e-06,-3.53534863235023e-06,-1.32923429893108e-06,-1.50984650944945e-06,5.94967847169092e-07,5.06589978968597e-07,-8.4379896984508e-07,7.43466681742446e-08,9.28904268615221e-07,7.38780717882708e-07,7.86976091945401e-07,3.65552402757869e-06,-3.56214022482715e-06,3.25500101500932e-06,8.52109788270479e-07,-2.60227795271055e-06,3.81571832736437e-06,-1.90329757966491e-06,-1.63244146812898e-07,2.01055654542153e-06,-1.34395088508036e-06,3.61077907425998e-06,-1.88229598226303e-07,-4.26448593087614e-06,3.43336143682953e-06,-1.41913312993942e-07,-4.30055447787909e-06,3.24114582960707e-06,3.34189281214504e-06,5.33272872777984e-06,1.38244429390699e-06,4.69837997819403e-06,3.55873476616931e-06,2.03384077666513e-06,-2.35563427209456e-07,2.28005616106223e-06,-1.24088459650013e-06,-3.85376518331141e-06,-1.19339932788276e-06,5.96634083488346e-07,4.67220072987768e-05,1.50726837535179e-06,1.9281532616265e-05
"kabwe","beta12",1.07192505908856e-06,3.79467655672939e-06,-4.67326268067761e-06,-8.61017102451195e-06,3.30504298543301e-05,-1.27146892965038e-05,-6.40373946017489e-06,-4.03765249152689e-06,-6.38963056294653e-07,-2.49500769732046e-07,-4.1411076136064e-06,3.29006300951586e-07,-1.19539395309483e-07,1.10078168746578e-06,3.54994674282747e-07,-6.46445550379955e-07,2.57413241326328e-06,-6.32597701791943e-07,-2.8934142252457e-06,2.46451433793753e-06,-2.08240687650551e-06,-7.85589052792659e-07,1.32388497909638e-06,1.24622487467905e-06,8.81277358355446e-07,-1.2211000800482e-06,-5.16171773493895e-07,4.34497813606746e-06,-8.34605826174829e-06,5.20186930881053e-06,8.22489339044719e-07,-6.18014142856982e-06,-2.51013565280321e-06,2.50303353234661e-06,-4.2106176903418e-07,4.96433142731216e-06,-1.26070863986714e-06,8.09028919665478e-07,-1.23719633561413e-07,-1.44849184883573e-06,9.04240616740207e-07,-4.5157097622556e-08,4.18027930635262e-07,-6.85829278155423e-05,-4.31044836016563e-05,5.68992114131084e-06,-7.13212957783946e-05
"kabwe","beta13",-2.15251594699301e-06,-8.25913859348785e-07,-8.07935368516067e-07,-3.53534863235023e-06,-1.27146892965038e-05,4.73396015646647e-05,-6.86885340383569e-06,-9.63313210470505e-06,-6.27977033979784e-06,-8.34194634559956e-06,-2.5903950031295e-06,1.08080065369866e-06,2.01375988242461e-06,-3.92517724823466e-06,3.51976229050314e-06,-2.48157689114761e-06,2.8022316047578e-06,4.16253402929438e-07,-2.96610567812951e-06,1.17719222755806e-07,-1.00519151979752e-06,2.31777613315644e-06,-4.43362210273448e-07,3.24941109501096e-07,-6.37037569899552e-06,3.54711529077225e-08,7.39969798672415e-06,-7.24090791669717e-06,-4.3100716265303e-07,1.95052798787485e-06,-2.70303207196375e-06,5.34649032658365e-06,-3.85349721224421e-06,-3.95660387079674e-06,5.45909893501791e-06,-8.20166202528262e-06,1.92410747634204e-06,2.62888897563764e-06,-1.73395175961167e-06,-3.07113362473601e-06,1.71655387567615e-07,1.15590681205738e-07,-2.28726376877037e-06,-3.28314256710015e-05,-0.000207743952922417,1.46575098007089e-05,-1.47705862269082e-05
"kabwe","beta14",1.00284257869776e-06,2.30464179270247e-06,1.09970286577107e-06,-1.32923429893108e-06,-6.40373946017489e-06,-6.86885340383569e-06,5.37882122262901e-05,-1.41327865568351e-05,-1.53247245886918e-05,-4.03388132954697e-06,-2.79598030409662e-06,-6.59735829948844e-06,3.26474003043684e-06,-4.14699994726913e-06,-7.81285264282848e-07,2.75379901788986e-06,3.05803759362295e-07,-2.3058672341195e-06,3.32452030411565e-06,-3.5595966889448e-06,1.51830595878545e-06,3.30340114662174e-07,8.4586487776623e-07,2.56622146299746e-07,3.53500705632172e-06,-7.04480123481348e-06,5.78947582416878e-07,4.87924122851243e-07,1.50633093124587e-06,-5.08770386105744e-06,8.66366432707769e-06,-7.73143627170148e-06,-5.34804020948661e-07,-4.95644725712238e-06,-3.05639857840143e-06,-1.51294135717498e-06,-1.70079032458881e-06,-8.59108821267406e-06,1.10209427833823e-06,8.45106085271713e-07,-1.63447108530256e-06,-2.1340602074659e-07,-1.63829277737766e-06,-1.90162256483984e-05,-8.17117270095047e-05,3.41002118064562e-06,-6.00476862404701e-05
"kabwe","beta15",-4.25482414304798e-06,5.21561519541012e-07,1.6956321462487e-06,-1.50984650944945e-06,-4.03765249152689e-06,-9.63313210470505e-06,-1.41327865568351e-05,6.31804509273109e-05,-1.75303036304543e-05,-9.29425266307428e-06,-2.84298056940636e-06,2.01891103839711e-06,-2.16121649743842e-07,-1.25058316816658e-06,-3.3664914245273e-06,1.1162085764806e-07,-1.09231705162116e-07,-5.5028320263198e-07,3.48647795935075e-06,-1.43306966511295e-06,7.54008021503538e-07,-2.27555624952616e-07,4.5393189501442e-07,-1.86296764137874e-06,7.4368585562932e-06,-3.41814549791508e-06,-1.19485009998456e-06,-4.81607312432019e-07,7.11182914986856e-06,-2.25902689076162e-06,3.11975905355088e-06,-1.19046138665359e-06,1.45659514762769e-05,1.74278503490445e-06,-9.60245661081502e-07,6.26383021096723e-08,-3.82902257365177e-06,1.62585643116077e-06,6.14179618202958e-07,1.91246321518728e-06,-5.02977638295527e-07,-6.01983221586708e-07,1.79678741874074e-06,4.52338387395281e-05,7.61156656054505e-05,-1.94188151588285e-06,-0.000301434321417178
"kabwe","beta16",-2.27037861834301e-06,-1.67175411175772e-06,-1.84048148393375e-06,5.94967847169092e-07,-6.38963056294653e-07,-6.27977033979784e-06,-1.53247245886918e-05,-1.75303036304543e-05,7.37046603438946e-05,-1.60704608094056e-05,-8.84389755856529e-06,-4.09137124166675e-06,-1.62821457772033e-06,1.27473486450891e-07,5.60265354115406e-06,-6.86250784497038e-06,4.30987176095575e-06,-8.19398975958363e-07,-2.73423651251555e-06,5.28128059589978e-06,3.68465391424953e-06,-4.95908684875652e-06,-6.30427508480478e-07,3.84100699051635e-06,-3.60585773308402e-06,5.24638697096897e-06,-3.82276902923059e-07,-7.67254604196153e-07,-2.19779238969054e-07,5.6673659005595e-06,-2.3726497139588e-06,1.03780664853625e-06,-8.21724734389074e-06,7.57343403736307e-07,-6.74573211597694e-07,6.00268858578305e-07,9.3745340338602e-06,1.16854705217768e-06,-9.5198417224999e-07,5.32074377727539e-06,-8.35262550135843e-08,-8.78973873605984e-07,-2.3315604646417e-06,-6.50656377649173e-05,-0.000132181355876544,5.57614752926298e-06,-0.000145606334001218
"kabwe","beta17",-4.4833429885866e-06,-4.94702460603077e-07,-1.81216483963216e-06,5.06589978968597e-07,-2.49500769732046e-07,-8.34194634559956e-06,-4.03388132954697e-06,-9.29425266307428e-06,-1.60704608094056e-05,9.64862795029786e-05,-2.62667890128017e-05,-1.67900954405953e-05,9.69907327556537e-07,-6.6571765296428e-06,-1.12352983357477e-05,4.16847976307039e-06,-7.08153960609405e-08,-3.32671217581168e-06,8.14322810562497e-06,-7.48329831575588e-06,-3.05603945001614e-06,5.30757191639442e-06,-4.15340697739005e-06,-2.72948659810329e-06,-8.25758115137829e-06,1.01983925491409e-05,-1.04563887830063e-06,-7.54200235567043e-06,4.78305857603236e-06,-9.4844115334248e-06,2.40821653591092e-07,4.7790659651148e-07,2.23471060535667e-06,4.04831844076582e-06,3.17833868736107e-06,-1.92525766385612e-06,-2.55580024871771e-06,4.47169669097836e-06,4.81010239945269e-06,-1.04716451913865e-06,-1.10462138905666e-06,1.41623519735212e-06,-3.33911611523523e-06,0.000160179671840755,-0.000141330208475784,9.00925943745459e-06,0.000139791362069064
