"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000186902211288855,5.89115188427927e-05,-1.02029256719167e-05,3.34512577297803e-08,-1.24778127860134e-05,-2.88746585838934e-05,-1.25881956946714e-05,3.31822455487883e-05,2.3396402033457e-05,-2.34506748161715e-06,2.63282623924863e-05,4.9976015735673e-05,1.35469971152477e-05,1.25632736791827e-05,-0.00010744531371555,6.64459499038667e-05,3.22767141056124e-05,-7.83983845855726e-06,-5.42460386918756e-05,3.90540913958034e-05,-5.13251539668327e-05,6.16326764500141e-06,6.06018688077626e-05,3.03700550315748e-05,6.47629978704076e-05,-3.51875859349956e-05,-4.19691274110912e-05,-1.86358266029183e-05,4.7609068912715e-05,-1.42011454377189e-05,-1.05261803390624e-07,-1.65437892136419e-05,4.60819220955927e-05,6.72823331763911e-06,1.40263140077211e-05,1.28820509363801e-05,-4.45666410294051e-05,6.74370472758621e-05,1.66027938269101e-05,6.10129825982229e-06,1.25133875503489e-05,2.05411743456105e-05,9.02641108359686e-06,3.48815963268316e-05,-0.000687465956319306,-3.78523198958307e-05,0.0107287937089296
"kabwe","beta1",5.89115188427927e-05,0.000150073713638493,-1.6910344487871e-05,-3.06462984509e-06,-1.43927356458621e-06,-2.23811923517831e-05,2.28265693999794e-05,-3.33041273339123e-05,3.3690126792889e-05,4.45322443224323e-07,-2.22841964776757e-05,6.07192908610508e-05,-1.75209917015156e-06,1.00125556971322e-05,-3.69524054300686e-05,3.24041453792085e-05,1.68904998476671e-05,-2.37960064464401e-05,-3.24281555671595e-05,3.7951474843742e-05,-2.58403827392215e-05,-1.34993168571741e-05,6.99789684338545e-05,2.10293719235209e-05,-1.40016454357905e-06,-2.85006586053028e-05,1.12571181364616e-05,-5.8471116600754e-05,7.46209687193025e-05,-2.55744946318468e-05,-2.0040145765815e-05,3.48186439774081e-05,3.03489902193439e-05,2.06168760356139e-05,2.11144924769403e-05,-2.30096481857411e-05,-5.50344842255285e-05,4.234821185733e-05,-1.65415239213358e-06,2.78177809233322e-06,-3.97817590494053e-06,2.11302224807458e-05,-1.52201051884923e-05,0.000652465553345988,-0.000594236171522916,-7.94766611008332e-05,0.00623311624316219
"kabwe","beta10",-1.02029256719167e-05,-1.6910344487871e-05,3.64134362763369e-05,-6.86701405431665e-06,-1.61227259554312e-05,1.80431451592892e-05,-4.47578945288761e-06,1.87947392534109e-05,-1.22048329109877e-05,-2.13901178122695e-05,1.87273871619169e-05,-6.72630948543148e-06,2.19755975190563e-05,2.0959325342697e-05,-5.82115018184626e-06,-1.89932242362899e-06,-2.96151356426459e-06,4.7718605590024e-06,2.39508346185703e-05,-2.35619953359134e-05,-8.23623865196157e-06,2.31256666782384e-05,-2.25726299835554e-05,-1.01002882467431e-05,1.01368993854478e-05,1.13165866300419e-06,7.00613102536943e-06,5.03237115959777e-06,-3.36012471506623e-05,2.70645652934725e-05,-9.8878175973626e-06,-1.86120378399403e-05,4.78824618541475e-06,-2.79621782485034e-05,-3.03097677640253e-06,3.41457572324875e-05,4.24003615283396e-05,-2.27143886845388e-06,4.68410406359644e-06,-4.20609259435814e-06,-6.27545329012609e-06,-1.08061856878139e-05,-4.1223841074249e-06,-0.000249132672693467,0.000209535164197596,4.59857996515348e-05,-0.000836090046354168
"kabwe","beta11",3.34512577297803e-08,-3.06462984509e-06,-6.86701405431665e-06,2.35732230885744e-05,6.89595695463299e-06,3.63827152901253e-06,-8.86225723393271e-06,-1.69095944541943e-05,2.43931334966297e-06,-1.2824495962782e-05,2.20536752340384e-06,1.60741873217032e-05,-6.03322951901559e-06,-3.66021974463249e-05,-7.09302822026672e-06,8.75846657420887e-06,1.80819145684643e-06,1.03914607989705e-05,-2.3458199981256e-05,2.89009600990946e-06,-1.30163528743346e-06,-1.54587912361142e-06,1.08168898220635e-05,-4.90823474008645e-06,5.4177934666925e-06,1.61528814039214e-05,-1.87240247946412e-05,-4.33430832352828e-06,-5.48303900401023e-07,-3.31111873731407e-06,-9.04374394034261e-06,1.42106352999016e-05,-1.56515583175183e-05,-1.40774986070573e-05,4.12059832751716e-06,2.83574857152149e-05,-6.9832524468792e-07,4.74016522959659e-06,-5.59863883534927e-07,-2.84360658127382e-06,3.2305575907626e-06,-6.51583519142269e-06,-8.40036908155478e-06,0.00081022317978198,6.53910183676331e-05,-2.1822702937186e-05,0.000431695587188041
"kabwe","beta12",-1.24778127860134e-05,-1.43927356458621e-06,-1.61227259554312e-05,6.89595695463299e-06,5.49393458625823e-05,-1.0484967716423e-05,-2.12973808111356e-05,-5.72970011339562e-05,2.40389121888123e-05,-8.81993829731346e-06,-3.00250181726154e-05,3.68761898452914e-05,-1.30577178935461e-05,-3.19389245929541e-05,8.12682919226857e-06,-1.65922570778606e-05,-4.5920670878182e-06,2.44578095997229e-05,-2.79913211488202e-05,1.42808851147677e-05,3.17742428088671e-05,-4.98372208885326e-05,-5.0597604548439e-06,-3.73233022410966e-06,1.72960228931827e-05,-1.35936970807415e-06,2.40876081960763e-05,-2.07691916770153e-05,1.3481546924971e-05,-1.68496672588971e-05,3.72057579850463e-06,2.8942753589145e-05,-5.95890260305788e-05,-2.08697275227224e-05,-2.43278835238684e-06,1.46109054685101e-05,-6.54610897133659e-06,-6.50586006000671e-05,8.06622455184493e-06,4.10706366144385e-06,6.79552377625113e-06,-2.18061032562107e-05,-2.37841219500754e-05,0.00128237034983449,0.000526362682564935,-6.88775218178954e-05,-1.5907481940982e-05
"kabwe","beta13",-2.88746585838934e-05,-2.23811923517831e-05,1.80431451592892e-05,3.63827152901253e-06,-1.0484967716423e-05,8.65561489984826e-05,-3.17453246149762e-05,-8.24514831004293e-06,-1.41960530715669e-05,-1.99884609991456e-05,6.29797600023205e-07,-2.73736835657288e-05,-1.50786895407978e-05,-5.8593414683587e-05,7.99729071071633e-05,-1.35669566219073e-05,-2.4041893834944e-06,7.99905277769902e-06,1.77793527266537e-05,-2.00777756997886e-05,1.28499071888406e-05,3.1655052172483e-05,-1.92902645545632e-05,-1.87461145390293e-05,2.36959837256565e-05,-6.68787337194806e-06,-4.89874728156317e-05,4.6695222466075e-05,-3.35910186138278e-05,2.21201027418385e-05,-1.10325892931864e-05,-3.54375558524785e-06,-1.5631858318919e-05,-3.66017410877127e-05,-2.55339435954184e-05,-2.67957656655114e-05,6.27819449646576e-05,-2.04101346621565e-05,1.48554969634291e-05,-3.23543470242588e-06,-1.6215859141812e-05,-2.09871567613379e-05,1.52483453530301e-05,-0.000938725714241126,-0.000531732585626086,0.000177193581077876,-0.00853863300085931
"kabwe","beta14",-1.25881956946714e-05,2.28265693999794e-05,-4.47578945288761e-06,-8.86225723393271e-06,-2.12973808111356e-05,-3.17453246149762e-05,9.63514077872199e-05,-3.15394923615342e-05,5.96342918482273e-06,1.79434140127219e-05,6.34918461574936e-07,-2.83679967719379e-05,-9.07416610522093e-06,1.77678687026534e-05,-1.59494944908974e-07,-1.76351407735325e-05,-2.40510004474594e-05,-1.30957920433174e-05,1.77675451583188e-05,7.75867128004584e-06,-3.87258337040972e-05,-9.40557810075744e-06,2.62266236902718e-05,2.70753608566704e-05,-3.06945519073559e-05,2.75616016525761e-05,2.60139768896308e-05,-6.63022040091186e-05,4.81292794296588e-05,-3.8551656890568e-05,1.93036734058206e-05,2.10663986050592e-05,1.24183118874235e-05,7.3311755528497e-06,-7.7207328014109e-06,-1.5700481783436e-05,-3.90413649107406e-05,5.14667595349314e-05,-3.0107241302541e-06,1.81951540040873e-05,-1.57681928168161e-05,4.65509158544348e-06,-3.62484032892395e-06,-0.000393715976593558,-0.000499487524765476,-1.10329398840181e-06,0.00219609486052545
"kabwe","beta15",3.31822455487883e-05,-3.33041273339123e-05,1.87947392534109e-05,-1.69095944541943e-05,-5.72970011339562e-05,-8.24514831004293e-06,-3.15394923615342e-05,0.000215350818599414,-6.75975531512345e-05,-1.04675967149022e-05,5.30172742402802e-05,-4.08079169601519e-05,5.00744888820095e-05,6.60501747564816e-05,-8.95445542463537e-05,5.97060157083538e-05,2.29546661007549e-05,-4.18952074574158e-05,5.22801525344534e-05,-3.34130716920914e-05,-2.74323615389006e-05,9.16555858806979e-05,-1.64821665741876e-05,-7.87294868717392e-06,-3.11075098573989e-05,9.35574179702292e-06,-3.82283967329941e-05,8.28069795130394e-05,-6.74376728708711e-05,7.11437558535375e-05,-3.7673587243068e-05,-6.39769200599677e-05,9.62706307818288e-05,1.83981438987503e-05,2.11278420941427e-05,3.22016531183646e-05,2.85296287639389e-05,7.70098194657114e-05,-2.23330528712593e-05,-2.38143182870048e-05,-1.21215301768562e-06,5.91802712933313e-05,4.22489551829969e-05,-0.00186536279108949,-0.000357787240739982,9.55719511688512e-05,0.00263072834288553
"kabwe","beta16",2.3396402033457e-05,3.3690126792889e-05,-1.22048329109877e-05,2.43931334966297e-06,2.40389121888123e-05,-1.41960530715669e-05,5.96342918482273e-06,-6.75975531512345e-05,7.06647989155606e-05,6.82198272594727e-06,-5.50868693866999e-05,3.5982483010972e-05,-2.01167765580536e-05,-2.89731132181471e-05,1.12354195870079e-05,-1.48644145448641e-05,-1.52623641645677e-05,1.15701493153487e-05,-2.13084361559875e-05,2.54877742022077e-05,9.1328575158135e-06,-5.75816410402264e-05,1.9190017323069e-05,1.60754885706653e-05,1.21000362964481e-05,1.57478849835805e-05,2.05692684800108e-05,-6.91265800961014e-05,6.68786576600426e-05,-4.34946755039094e-05,1.55807201759168e-05,3.84587373284792e-05,-5.95195887073094e-05,-7.23765483178109e-07,-1.07683475216706e-05,-6.61121036712428e-06,-5.75006513089321e-05,-9.09897040031092e-06,2.29344773460452e-05,1.01186084162825e-05,-8.3016732278392e-06,-3.35573870354206e-05,-2.14527533288012e-05,0.000917922897644725,2.26367238359562e-05,-5.54488987426329e-05,-0.000288995230004789
"kabwe","beta17",-2.34506748161715e-06,4.45322443224323e-07,-2.13901178122695e-05,-1.2824495962782e-05,-8.81993829731346e-06,-1.99884609991456e-05,1.79434140127219e-05,-1.04675967149022e-05,6.82198272594727e-06,0.000104221618023968,-4.64544610096397e-05,-4.21069932638975e-05,-2.2847024779568e-05,9.76822015709383e-06,5.65369489252663e-05,-1.36974131602358e-05,-1.5501515104711e-06,-2.96681065255847e-05,1.24788593789583e-05,3.49947708183701e-05,1.90230366552766e-05,-3.32109402870813e-05,-1.27323570954628e-05,4.74155291169007e-06,-4.19554990797176e-05,-1.66061858917414e-05,1.98871803724497e-05,-1.34910373986454e-05,5.02169680318632e-05,-3.12849867474277e-05,2.86576569414126e-05,-3.57671677381397e-05,8.54030699601781e-06,7.51074528314581e-05,-4.3988261921505e-06,-0.000138559435131999,-3.0068381488813e-05,-1.51849310237945e-05,-7.99098892798444e-06,-5.19438126175546e-06,2.37384396718521e-06,2.1288901057102e-05,1.41840468390181e-05,-0.00118706286395993,-0.000456494422071135,-5.12558804085751e-06,-0.00307069818613117
