year,month,day,schools
2020,12,8,closed
2021,1,9,open
2021,3,8,open
2021,7,24,closed
2021,9,1,open
2021,10,23,closed
2021,11,1,open
2021,12,18,closed
2022,1,4,open
2022,2,12,closed
2022,2,21,open
2022,4,2,closed
2022,4,19,open
2022,5,28,closed
2022,6,6,open
2022,7,23,closed
