"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000597844380291399,-1.60510788369873e-05,4.90706317302532e-05,-1.68651186876345e-05,-1.5034554666826e-05,-0.000114097033600882,6.69856184183818e-05,4.20672066594916e-05,0.000113852559437763,-6.88211857854166e-06,-0.000172245344380116,6.74873893450097e-05,3.43293236111769e-05,-7.48521849579686e-05,7.05300297205067e-07,9.53962943144856e-05,-5.4160879639904e-05,-0.000105122851563417,3.06527345275177e-05,-1.45777439351876e-05,4.60542926658707e-05,-0.000216101931850764,-1.0798909413242e-05,1.08858889350578e-05,6.91530027741517e-05,-0.000155505708970418,-4.37520616424067e-06,-1.04611865332582e-05,-6.06261578313849e-05,-4.6725331621062e-05,2.67579845270576e-05,-0.000205091987043245,-3.53387302094336e-05,0.000311440531906228,4.32774130977496e-05,1.12393540053665e-05,-8.15697580088614e-05,0.000177708813124537,-2.2065680536339e-05,-8.61415834736598e-05,2.34870491114255e-05,-2.59150405920131e-05,2.69327810459626e-05,-0.00088823587466491,-0.00260376849806256,0.000147341948530053,0.0020518087595006
"kabwe","beta1",-1.60510788369873e-05,0.000128244462440046,2.20324905722997e-05,-4.02926555662722e-06,-5.54281221684405e-06,-6.15028693489605e-06,3.29087552126145e-05,-2.30658526667194e-05,2.63723130615973e-05,5.55127504248004e-06,-2.55268156836853e-05,3.41683311993271e-05,3.4451503278338e-05,-4.4341337225792e-05,-1.33547039224625e-05,3.56048720133777e-05,-3.98261474769106e-05,1.93470133099086e-05,1.96062546064967e-05,-2.04192868968822e-06,1.07674914926145e-05,-2.52991625851502e-05,4.3775262092374e-05,-2.79477022398058e-05,-8.40549803794084e-06,-2.73584006775056e-05,9.81802057159187e-06,6.44268390362143e-05,-4.54857153995682e-05,4.26901687272466e-05,-3.6701574477848e-05,4.38776920598791e-05,-2.00086074618808e-05,-3.28945846488914e-05,-5.34584749368058e-06,2.11117135866941e-05,-1.77207641682226e-05,1.53357239466517e-07,-9.26000242375081e-06,-7.6319556582054e-06,-2.43480937126853e-05,1.38877991933727e-05,-9.28691935590975e-06,-0.000231546617355144,0.000772583530859522,-1.18017112428018e-05,0.00333300549077007
"kabwe","beta10",4.90706317302532e-05,2.20324905722997e-05,3.2536688611476e-05,-1.65775877532414e-05,5.10004650626415e-06,-1.64425972696906e-05,1.14041284694262e-05,-1.17388408872513e-05,1.44233571009433e-05,-7.97882598182509e-06,1.17479450596855e-05,1.50687434242329e-05,1.62538644668188e-05,-4.41758222945598e-06,-2.88092131071732e-05,1.19158424419558e-05,-5.93206775189825e-07,-1.06401920165919e-05,-3.76836082375362e-07,6.20574693851427e-06,1.81450246388366e-05,-3.43060788538207e-05,2.99869990604433e-06,-6.14779452806881e-06,1.96486970666095e-05,-2.09547122694902e-05,-1.42366701335356e-05,2.44263329200544e-05,-4.47901625634433e-06,-1.25067946539268e-05,-1.51146176722933e-05,-1.45886678208727e-05,-6.77495062840014e-06,6.16974791542216e-05,1.0622535650237e-05,2.62219902964797e-05,-2.06373995477981e-05,5.3408585157631e-06,-4.36399859754808e-08,-1.47991074237581e-05,-1.59931281480263e-05,-1.29765033264213e-05,1.57369328336006e-05,6.93707850098413e-05,0.000208423235220888,6.07980241842173e-06,0.00134970206958796
"kabwe","beta11",-1.68651186876345e-05,-4.02926555662722e-06,-1.65775877532414e-05,3.90980564542696e-05,-1.41336377203462e-05,-9.12686516517097e-06,-1.04548612681478e-05,2.40518602904554e-05,-1.89670199804681e-05,1.56495878637476e-05,-2.29196369027911e-05,3.02675166914706e-06,-1.68467520754236e-05,-1.54301322757129e-05,2.49951693694564e-05,-5.52440481351447e-06,1.26744072132792e-05,-2.05317907167435e-05,2.47871523933143e-05,2.19387108846332e-06,-1.48868566831222e-05,1.0817379884931e-05,1.2547491742311e-05,-2.54177255573972e-07,-1.23855425759562e-05,-1.77881002125424e-05,1.8268613680615e-05,1.69775554056224e-05,-1.8045214600633e-05,6.36610327549904e-06,1.19556657427192e-05,1.67772003974854e-05,1.93019949895213e-05,-2.9760112781697e-05,2.83411410934069e-06,-1.95767674847322e-05,-1.43870776001705e-06,5.54936922838388e-05,-8.44033484897756e-06,1.87667700065855e-05,7.20945710971995e-06,6.35412427491485e-06,-1.44501239030907e-05,-0.000747268388699961,-0.000780361329573132,0.000139014015022334,0.000371148833211112
"kabwe","beta12",-1.5034554666826e-05,-5.54281221684405e-06,5.10004650626415e-06,-1.41336377203462e-05,3.78658359569924e-05,9.20986993670079e-06,-2.95979605785048e-05,3.85288179394866e-06,2.9663158754404e-06,-2.00667282147044e-05,3.17988115548492e-05,-2.4271135004669e-05,1.53646141053127e-05,3.07047807191848e-05,1.06180859877906e-05,-2.77000207902927e-05,2.0463957137262e-05,6.74186874207163e-06,-1.74767259476623e-05,2.50424688836929e-05,-6.1440197477597e-06,8.88956005481439e-08,-1.99781126749212e-05,9.44441174272606e-06,3.39351597240995e-06,5.12438970068296e-05,-7.21927778646871e-06,-1.50300793475439e-05,2.87340342846719e-05,-4.06715174741074e-05,2.39110017781972e-05,1.23305203315174e-05,1.20042633208459e-05,6.91607023306358e-05,2.13273660421756e-05,-1.20338971010695e-05,-6.07166892080731e-06,-2.78845782515127e-05,6.77231022772343e-06,-1.48906112392317e-05,-1.3203558256754e-05,-1.47343187391941e-05,1.16187755614315e-05,-2.44188829786494e-05,0.000606659503354182,-3.9147311814288e-05,4.12165313898671e-05
"kabwe","beta13",-0.000114097033600882,-6.15028693489605e-06,-1.64425972696906e-05,-9.12686516517097e-06,9.20986993670079e-06,5.83719654376805e-05,-3.13209837239084e-05,-1.29220772881745e-05,-3.20785645512911e-05,1.14557529163202e-06,3.02333729660122e-05,-1.18920557315035e-05,-4.84881581100319e-06,3.60558350638729e-05,-9.35026634540777e-07,-1.14438810078728e-05,-4.09767638053684e-06,4.02621475930777e-05,-2.61641619971748e-05,3.02949810330074e-05,-1.41051043391929e-05,2.7759437718289e-05,1.62666934677962e-05,-3.05480180462237e-06,-4.63539813970202e-06,2.76829516729387e-05,8.91920314101289e-06,-2.39750473737398e-05,4.65542953053482e-05,1.34113580611936e-05,-1.38242853050206e-05,1.72239623314912e-05,5.83544921993956e-06,-6.55998738496717e-05,2.3123444835445e-06,1.30898584739475e-05,2.1041820433477e-05,-9.35832673817383e-05,1.63052682227622e-05,8.62212378440969e-06,3.65159938170688e-06,-7.68079033960794e-08,-1.08057215920841e-05,0.000606539072607713,0.00137111147029315,-0.000124371054931378,-0.00156497351886505
"kabwe","beta14",6.69856184183818e-05,3.29087552126145e-05,1.14041284694262e-05,-1.04548612681478e-05,-2.95979605785048e-05,-3.13209837239084e-05,9.51649885606014e-05,-4.48395689354625e-05,4.05982831151031e-05,-2.30043607427521e-05,-3.73598284530649e-05,7.12622387174846e-05,6.56121043745275e-06,-7.82745147351919e-05,-3.37850905011685e-05,3.87048066562266e-05,-1.9656195567718e-05,-1.52375920427655e-05,1.23206083411793e-05,-5.64194512352134e-05,4.75389949876398e-05,-4.45937722157807e-05,1.28414749978382e-05,1.71034032449682e-06,4.00502805797432e-07,-1.37663255885363e-05,-3.43922640074975e-05,4.40520991697612e-05,-9.58641381018404e-05,7.11833965304042e-05,-2.20281003672333e-05,-2.73771488848447e-05,-1.95430886174499e-05,-5.78066425399391e-06,-1.19492992034139e-05,1.00702708681157e-05,5.44776250128799e-06,5.4244167111857e-05,-3.18225726227245e-05,-1.85308744533237e-05,4.43122541786279e-06,4.7765938356578e-06,8.85364673445258e-06,7.77304522694423e-05,-0.00153773255407381,3.13986437577663e-05,0.000492348029135201
"kabwe","beta15",4.20672066594916e-05,-2.30658526667194e-05,-1.17388408872513e-05,2.40518602904554e-05,3.85288179394866e-06,-1.29220772881745e-05,-4.48395689354625e-05,7.85850575295137e-05,-1.98627871950469e-05,2.36372424063435e-05,-3.69554702103548e-05,-4.43287625106563e-05,-8.26215327884131e-06,4.41800921963659e-05,2.76574532855023e-05,-4.3113871312688e-06,1.41395869281298e-05,-3.48928095927426e-05,1.14228144218006e-05,3.49609447172408e-05,-5.1040752808672e-05,2.10278912030084e-05,-1.50741942649487e-05,-7.33460070409017e-06,3.07693485310346e-06,-2.14029728263997e-05,1.70115093657016e-05,-3.08690165425882e-05,5.46784624209569e-05,-6.15081147564524e-05,2.05018132542604e-05,1.59855076509908e-05,-1.88265904555914e-06,8.99380823170865e-05,1.07303799857166e-05,-7.76271615896328e-06,1.11680218189521e-05,2.60283113071355e-05,2.3547291635206e-05,1.820138757327e-05,-4.43381185465554e-06,-9.05337460326007e-06,-4.0469834103496e-06,-0.000679228019803137,-0.000439942926892081,9.66337611698647e-05,0.000531513405526942
"kabwe","beta16",0.000113852559437763,2.63723130615973e-05,1.44233571009433e-05,-1.89670199804681e-05,2.9663158754404e-06,-3.20785645512911e-05,4.05982831151031e-05,-1.98627871950469e-05,7.59763036080897e-05,-2.54792544010584e-05,-3.77438103727403e-05,1.63943285816057e-05,2.92740864484497e-05,-3.7671168058541e-05,6.41862452893975e-06,2.09020159020193e-05,-3.1240567824181e-05,7.84274357121084e-06,-1.87835651887122e-06,-2.97276219551145e-05,2.09701509639999e-05,-5.57732659457169e-05,-2.70279788803239e-06,2.02756092286876e-05,7.10366185014039e-06,6.84959989083357e-06,-1.77916437724795e-05,-6.62510672691096e-06,-3.79876186423583e-05,1.12097361917535e-05,5.24879692196244e-06,-2.59858263588095e-05,-2.30172258991093e-05,4.56205006158692e-05,2.2846910733717e-06,-2.22179799551305e-05,-4.51965030244553e-05,3.65606852795592e-05,-3.56899557117243e-05,-3.93320190369062e-05,5.55496205389667e-06,1.48229891185251e-06,1.29891799510931e-05,-1.31044754489964e-06,-0.000676917189746354,-3.36651023831682e-05,0.00116180151839061
"kabwe","beta17",-6.88211857854166e-06,5.55127504248004e-06,-7.97882598182509e-06,1.56495878637476e-05,-2.00667282147044e-05,1.14557529163202e-06,-2.30043607427521e-05,2.36372424063435e-05,-2.54792544010584e-05,9.25488131070991e-05,-1.76458691845785e-05,-6.14029806412535e-05,-1.29924248145987e-06,-1.05716539490312e-05,1.5513804457665e-05,1.37886611612711e-05,-9.1390797233655e-06,-1.59252815572447e-05,3.39812431195906e-05,-1.93565042987665e-06,-2.28176947132134e-05,2.23199383004303e-05,7.24247318077964e-06,-1.72476298637198e-05,1.55826889140621e-07,-3.33607245320129e-05,4.38852034550992e-05,-2.95621190850451e-05,3.27310329507107e-05,-2.3050367906697e-06,-2.10671215055752e-05,4.05420804283881e-05,-3.3716086967814e-05,-6.29624175105443e-05,-3.1926235833019e-05,2.22915344762157e-05,1.31247224953265e-05,7.29098617447235e-06,1.36639602110359e-05,1.61301935596805e-05,3.28453031818027e-06,2.88490381554633e-05,-2.9310069570824e-05,0.000303367487084318,0.000555582236410849,4.17161671642234e-05,0.000542661019243108
