"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.00019055772783047,-2.69162581378716e-05,6.12667112427382e-06,-9.87547330538018e-06,-1.02956418398397e-05,4.28132991686332e-06,-1.80812918640099e-05,7.00664652837224e-07,3.41519010685933e-05,2.03559621803712e-05,-6.10522263173394e-05,-7.43178970057138e-06,-1.23058241717567e-06,6.19429927427467e-06,6.15720772463658e-05,3.19304959247499e-05,-3.41966907808283e-05,-2.26290546807303e-05,1.56179060183696e-05,-4.76290803174636e-05,4.54868324243952e-05,-5.16878600428476e-06,-4.42839071228903e-05,2.10381195343127e-05,2.05107866571551e-05,-4.00200129618665e-05,4.30199187616755e-06,-6.87920239808893e-05,6.5474166560593e-05,-3.28525485513877e-05,2.18062964573489e-05,-2.47775071248928e-05,-2.26914864664481e-05,-6.85801777536236e-05,-3.86551900597579e-05,-3.72165758019104e-05,9.95650494969154e-06,3.14655505394151e-05,5.10287839035514e-06,-2.60943262261548e-05,7.6194965830125e-06,4.06896808511112e-05,1.23841936589939e-05,0.00172740523428878,5.99139304755089e-05,-0.000125018022268717,-0.00328098987951168
"kabwe","beta1",-2.69162581378716e-05,6.42921625875099e-05,-4.50500897736533e-06,-2.60289985274431e-06,2.28212154118086e-06,2.13484232216377e-05,6.68877552568194e-06,9.51396039949445e-06,4.41852094735653e-06,-3.23085914658512e-05,-2.27646016604352e-05,1.66904912182569e-05,2.70571330839463e-05,-4.53487377658275e-06,-1.1154941536033e-05,1.56926059180339e-05,-2.25941311998892e-06,1.11336306264429e-05,-1.21898313742897e-05,2.4636280062937e-05,-9.90127870416268e-06,-1.01944267729499e-05,1.27513692496106e-05,-7.30868588118771e-06,4.94871587574123e-06,8.29337733205163e-06,-1.00616545226324e-05,4.80009620739616e-06,3.12692015627669e-07,9.48100173603811e-06,-9.20322111338445e-06,2.47198094870851e-05,-1.10091119959113e-05,-2.08698081208459e-06,-1.5050832308478e-05,-1.59336042858461e-05,-3.09725603846898e-05,1.65325208321711e-05,2.47507055661819e-06,-6.51490660298886e-08,-5.99669356643819e-06,-6.11620865066842e-06,3.70440229376085e-06,-0.000842595662252223,7.24711685958432e-05,9.72572961235784e-06,0.00172506989740039
"kabwe","beta10",6.12667112427382e-06,-4.50500897736533e-06,3.02460146454554e-05,-2.45242120719777e-05,2.75880022295396e-06,2.01460352727425e-06,-2.62506081179183e-06,1.55818019034868e-06,2.55987352574775e-06,-7.92309182446217e-07,1.98757665475571e-05,-1.00834899804583e-05,1.36611066588775e-06,7.34789392976769e-06,-6.10735066402373e-06,-5.53338028479762e-07,-2.13169285514222e-05,1.61047293391107e-05,3.60023962411747e-06,-2.28564616143661e-05,-1.77781946846821e-07,-2.13951038596631e-06,1.60330346570104e-05,-3.02360373411648e-05,-2.75346892482014e-05,4.63021222978734e-05,-1.98897096202894e-05,-2.73087279600375e-05,9.02100729372116e-07,1.32206855649943e-05,-2.29373475808023e-05,-2.10736776725018e-05,1.62826005828955e-05,-3.71445766792363e-05,-1.1741608162926e-05,-3.95091087573887e-05,3.93390627587378e-06,1.92384510776791e-05,3.95782008644723e-06,1.77052672985238e-05,1.19226107923925e-06,2.66725465558078e-07,3.62257058690084e-06,0.00066701563688483,0.000583408220563473,-2.89392090259791e-05,-0.00148524986381164
"kabwe","beta11",-9.87547330538018e-06,-2.60289985274431e-06,-2.45242120719777e-05,3.95086897090067e-05,-6.98549295481147e-06,-2.32424070134742e-05,-6.73998761048083e-06,4.00624389188342e-06,-9.6283114763242e-06,2.53366043738937e-05,-2.16909847273459e-05,2.18515981988756e-05,-4.58452047199594e-06,-5.88768467582523e-06,-6.90427621992059e-06,-8.03182132988312e-06,2.52436118194016e-05,-5.33999014094921e-06,-7.11186410614567e-06,2.19005515008738e-05,-2.11034379472051e-06,-4.9562879481312e-06,1.27052221694512e-06,1.99066660105575e-05,3.78053200492139e-05,-7.49258927833126e-05,5.10704553896368e-05,3.15357986937213e-05,-2.0140048000959e-05,-5.0105091059427e-06,2.9994618431336e-05,1.8881393830834e-05,-1.39805479741165e-05,5.59677208602962e-05,1.86033084826006e-05,3.1874857627601e-05,-1.77318788442509e-06,-6.48575232049452e-06,-1.48652956581796e-05,-9.45349912161494e-06,-9.67115871363163e-06,1.06809445947051e-05,-8.74740621146638e-06,-0.000352204352268441,-0.000146548368221679,-4.92475244160112e-06,0.0017476189313657
"kabwe","beta12",-1.02956418398397e-05,2.28212154118086e-06,2.75880022295396e-06,-6.98549295481147e-06,2.02371818823931e-05,3.10951864552413e-06,5.14608007045052e-06,-5.54206945051193e-06,-5.06058727769244e-07,-2.33947610723361e-05,2.29526053866824e-05,-1.62970794068695e-05,1.15749771801304e-05,4.89851262558952e-06,1.19339518930047e-05,-1.14655266098574e-05,-3.22486964916588e-06,8.40712144792875e-06,-2.31374176703759e-06,7.03315198657586e-06,4.79881440722297e-06,-3.92335116523717e-06,-1.20476146309916e-05,-3.62120506834108e-06,-1.46232873795234e-05,4.36054896186027e-05,-1.38063163862641e-05,1.24874686035078e-05,-4.09061837520636e-06,2.94034265293705e-06,-2.15289655193095e-06,-1.27918145981716e-05,8.64870512681004e-06,1.08140025949135e-05,1.01369996742677e-05,3.10596327392639e-06,3.06921026759491e-06,-1.10866205508563e-05,1.7976368303368e-06,2.09244613383407e-06,-7.51313754900983e-07,-6.68996608896529e-06,-1.37225246250674e-05,-0.000493102059693085,0.000256756812634137,1.9206651295952e-05,-0.000106468462910954
"kabwe","beta13",4.28132991686332e-06,2.13484232216377e-05,2.01460352727425e-06,-2.32424070134742e-05,3.10951864552413e-06,6.67545304901884e-05,-1.44092895131657e-06,-8.93298003157123e-07,-1.37238873869875e-05,-5.37532703661215e-05,-4.69848091512489e-07,-9.94364320270694e-07,1.55707049209575e-05,-2.09089477461128e-05,1.87338180851164e-05,1.69479993951956e-05,-2.59894490300507e-06,-1.87784064347761e-05,1.05629372882416e-05,6.04911280743816e-06,1.48909019873411e-05,-7.55354526973465e-06,9.18991825044372e-06,9.54148403403795e-07,-2.05597836181897e-05,4.89529017953273e-05,-4.80955345156809e-05,-5.26259047042962e-05,4.96541762265354e-05,3.38935214298769e-05,-3.16345272434866e-05,-1.52749051086454e-05,2.39020274575786e-05,-9.71282758074927e-05,-2.33480856674212e-05,-2.90726281871908e-05,-2.75508708358093e-05,1.13299243890915e-05,1.59178284978619e-05,2.8348007235711e-07,6.81741786226343e-06,-9.39161031209312e-06,1.69504646255606e-06,-0.000374759464313637,-0.000658108574996305,5.95075678766601e-05,-0.000801663819500805
"kabwe","beta14",-1.80812918640099e-05,6.68877552568194e-06,-2.62506081179183e-06,-6.73998761048083e-06,5.14608007045052e-06,-1.44092895131657e-06,3.62643112487284e-05,-1.84373612730032e-05,3.0827182268449e-06,-2.50531507697546e-05,1.61229969437687e-05,-1.01364824976848e-05,3.69731786510843e-06,-7.22354067207203e-06,1.61866142208699e-05,3.51503936069184e-06,-5.45057909577683e-06,7.35615588231677e-07,7.50016312719806e-06,-1.00186132702621e-06,3.08116765498588e-06,-6.73852708989123e-06,-2.17566265020759e-05,1.08428930625505e-05,1.80752361412634e-06,5.24261299949511e-05,-4.69116051616678e-05,4.38957588166272e-05,-7.96423175882649e-06,-2.60769922076273e-06,-5.24210879957673e-06,-9.73790290396201e-07,9.76907575662835e-06,1.86885891336073e-05,-1.83445617944132e-06,2.54757083131652e-05,1.81095217184869e-05,-3.40287476173478e-05,-5.38581238499083e-06,-2.48959640659903e-06,7.05622971946335e-06,-1.16909110511082e-05,-4.57898646194489e-07,-0.000367103318445985,0.000346158308079011,-8.43749143216385e-06,-0.000629126530511185
"kabwe","beta15",7.00664652837224e-07,9.51396039949445e-06,1.55818019034868e-06,4.00624389188342e-06,-5.54206945051193e-06,-8.93298003157123e-07,-1.84373612730032e-05,5.3852490760262e-05,-1.20022062819087e-05,-1.1602825718603e-06,-3.3983348865349e-05,1.169894126574e-05,4.04789636520164e-06,2.41539522840871e-05,-2.10876147689639e-05,-7.03955404088335e-06,-2.82976490970935e-06,1.0097502985661e-05,-1.05977050131618e-06,1.85378879020638e-05,-3.44386131977295e-05,2.96384918658495e-06,2.62796886363995e-05,-1.84538797034403e-05,-2.38217490000173e-05,1.43609608334143e-05,1.84736047669603e-05,-3.96388150520334e-05,1.95899581482249e-05,8.64148109119542e-06,-9.38015836461307e-06,1.83074674335993e-05,-1.44234406567692e-05,2.3587760696228e-05,-7.27893002069695e-06,-5.39205020709111e-05,1.40374470762771e-05,3.08547854809103e-05,1.23292283088081e-05,1.46623372080803e-05,-2.33623913083398e-05,7.07902913355335e-06,7.05766071943785e-06,0.00018150948400964,0.000301925302106812,-3.2733942768522e-05,-1.36387310547952e-05
"kabwe","beta16",3.41519010685933e-05,4.41852094735653e-06,2.55987352574775e-06,-9.6283114763242e-06,-5.06058727769244e-07,-1.37238873869875e-05,3.0827182268449e-06,-1.20022062819087e-05,5.44998178994787e-05,1.42527854154471e-05,-2.84408787020268e-05,-2.38103582946705e-05,-4.86183809324225e-07,1.50010750345885e-05,3.79996117904789e-05,2.70113122132183e-06,-2.57515503164207e-05,7.3950541783065e-06,2.87819778743743e-06,-2.28838811042057e-05,7.85432114830482e-06,1.70512083410642e-05,-1.69963450785795e-05,1.8558626369656e-05,-6.78873709976345e-06,-1.41271018940884e-05,-1.12629831124791e-05,5.39059238188192e-06,3.73445733831524e-06,-2.23782074953623e-05,1.77038018367708e-05,1.30125246220696e-05,-1.13349328569382e-05,2.41408726108276e-05,2.23547554921501e-06,1.11660262679889e-05,-7.43853681857755e-06,-1.85894407951617e-05,-8.82835942405972e-06,-2.16848392680144e-05,7.07202783714156e-06,7.69795921759527e-06,8.56466831428207e-06,0.000754272333907206,-0.000292765012889823,-4.82118492424699e-05,-0.000669474389681543
"kabwe","beta17",2.03559621803712e-05,-3.23085914658512e-05,-7.92309182446217e-07,2.53366043738937e-05,-2.33947610723361e-05,-5.37532703661215e-05,-2.50531507697546e-05,-1.1602825718603e-06,1.42527854154471e-05,0.000140959046678199,-3.82673879381994e-05,-4.60570073125096e-06,-1.82437841123314e-05,-1.31501725945781e-05,-2.11894846223522e-05,-7.04652897967981e-06,2.03494226630832e-05,-9.83798105178824e-06,1.44910503065893e-07,-3.0687357306399e-05,-2.72232089063134e-06,6.53934874169824e-06,6.07179507743612e-06,2.41461450607491e-07,4.71312678183465e-05,-0.000105045928293208,9.34759714599251e-05,-1.3339460442355e-05,-3.80519631099746e-05,-2.55027698159071e-05,2.26294181185855e-05,6.6932146786684e-05,-3.2986131502663e-05,6.44943228726416e-05,2.37825739525174e-05,9.68099506844652e-06,5.00572892250399e-06,2.246967292333e-06,-2.21437509380464e-05,-2.46235599919636e-05,-3.40219955619742e-06,2.01896558872898e-05,1.2458867914054e-05,0.00177378116941369,6.81959597644213e-05,-8.54346015715751e-05,0.0013981316841976
