"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000195120113728387,-5.52485910460494e-06,-8.55634997716871e-06,3.80462649845283e-07,-4.55667922751143e-06,-5.21718303439489e-07,-6.32090421864082e-07,1.01177254629901e-05,-2.37345009784293e-06,-1.34274608268839e-05,-1.98933109121291e-06,1.41413716450516e-05,-3.22295396146441e-06,-1.40119987595263e-05,-5.05842980525284e-07,8.00750425653918e-06,4.13380063003482e-07,1.06143711250737e-05,-1.00246526427514e-05,-4.76580482566913e-06,9.91209898524029e-06,-3.12907431403779e-06,-7.10032489529798e-06,-4.96051336755222e-06,4.95006513636429e-06,-8.22514689310416e-07,4.44329924141809e-06,-1.81126296889537e-06,5.72935008970721e-06,-3.9118405945424e-06,1.63710314872435e-05,-4.75485114946733e-06,-1.75796912122793e-06,-3.36833750140086e-05,4.89138677253644e-07,-2.53244590333035e-05,7.39340315430604e-06,-3.83611740830834e-06,-6.88720331719202e-06,1.98604705540845e-06,6.89276293921017e-06,7.98074720045438e-06,2.78614390958932e-06,0.000199982286380694,0.000184839686594057,-4.47180013519866e-05,-0.000336538873302324
"kabwe","beta1",-5.52485910460494e-06,0.000102944898036372,-2.22778420846959e-07,-2.03390018993715e-06,-1.3593371842366e-07,-1.73312566535496e-06,5.36435969198114e-07,1.15788844657016e-05,-6.55631335860082e-07,-1.28486773177162e-05,3.86332702402718e-06,-5.20599517839967e-06,1.20799227204816e-06,8.37215958910498e-06,-2.2105913369324e-06,-1.86277538009684e-06,7.59714808705244e-06,2.49005371199944e-07,1.82346206580594e-08,2.21582875590146e-06,1.3787580484042e-06,-4.97834111166285e-06,-1.74823429185373e-06,-1.03728939855037e-05,8.8588888243667e-06,-2.76167676278187e-06,2.03312204646777e-06,5.27329063488895e-06,2.60708535891764e-07,1.42146430513573e-06,2.98223873628425e-06,2.23671326366272e-06,2.34007121591163e-06,1.85599908864418e-06,-4.63892894140392e-06,2.39303864047235e-06,-5.93668020379611e-07,5.42471910204152e-06,1.62644735563185e-06,5.96530360300065e-06,-8.65992533592654e-07,-6.50847270256133e-07,2.65376747884018e-07,0.000108803903633947,0.000265315349956033,-2.52203073710282e-05,0.00225554719583752
"kabwe","beta10",-8.55634997716871e-06,-2.22778420846959e-07,2.98681285302419e-05,-8.44779494673283e-06,-2.30196275944815e-06,-1.48776845792622e-06,6.02324841030398e-08,-8.54537175536195e-07,1.31024906745566e-06,2.66246740230225e-07,7.22102370071777e-08,3.04192191922799e-06,2.40056411194066e-06,-4.97954130657337e-07,3.06799643065559e-06,1.31644573629989e-06,-1.47827297892441e-07,6.47652059635482e-07,-1.79758785773005e-06,2.50476096330673e-06,-1.13031693655831e-06,1.46622606569959e-06,-2.91289840294781e-06,2.63513957450439e-06,2.64584770105384e-06,-1.29563938256259e-07,8.39813566349445e-07,2.74198031015126e-06,-8.74949799356471e-07,1.08588224916084e-06,-3.81796913037529e-06,4.19944434248142e-06,-5.16426359408899e-06,-4.72478081702092e-07,2.16001267383743e-06,-1.71092014862199e-06,8.82382241938261e-08,-2.69637141552072e-06,-6.65100493954947e-07,-2.3139939503518e-06,7.09673459747334e-08,-9.09040278193471e-06,-7.5900339005899e-06,-3.19129832230956e-05,-1.46666080800905e-05,7.96092359602643e-06,8.88367589081867e-05
"kabwe","beta11",3.80462649845283e-07,-2.03390018993715e-06,-8.44779494673283e-06,2.45111932466033e-05,-7.23713025011898e-06,-3.81152166412737e-06,-3.54863893870444e-07,-3.62453691959931e-06,-2.76297619250043e-06,3.4948099490967e-07,6.04047629658888e-07,1.10203732619613e-06,2.55393515803857e-07,1.9466194713306e-06,-3.08638324076047e-06,3.40710347935488e-06,1.21239938534036e-06,1.81909721205994e-06,1.94228506708815e-06,-2.60032866126389e-06,3.16349765776393e-06,3.35743615208908e-07,3.17450985871556e-06,3.51947831951369e-06,-3.45636549026815e-06,2.97194956657912e-06,2.48832481254108e-06,-1.48966971236743e-06,3.87513705837632e-06,-2.8951952880725e-06,5.24362975436475e-06,-3.36327900199183e-06,-5.82219226279339e-07,-5.22695064043258e-07,-1.65612674786922e-06,1.11779633866359e-06,-3.16213713111771e-06,2.25126219517642e-06,3.92712617584453e-07,6.72501264682539e-07,8.41448646054958e-07,-2.42627867401949e-06,-2.86017886136699e-06,-8.21094700392732e-05,-2.50389061674672e-06,7.75315710728246e-06,-0.000145797906369206
"kabwe","beta12",-4.55667922751143e-06,-1.3593371842366e-07,-2.30196275944815e-06,-7.23713025011898e-06,2.96055759796972e-05,-7.97790585573109e-06,-4.25310292494664e-06,-5.8137007282356e-06,-1.31612768526954e-06,-2.52693090260679e-06,-3.663606070972e-06,-1.07910711099712e-07,-2.71528651322887e-07,3.86741280578373e-06,-1.59314867172063e-06,9.60371556074814e-07,-1.70787448847652e-06,1.89593540617521e-07,1.00947669390266e-06,5.16202700481557e-07,-1.92636822950243e-06,2.26472047248861e-06,-1.53158664520947e-06,-6.10895963317113e-07,2.02551947151621e-06,3.20012873596207e-07,-1.70933577066174e-06,-1.21644345830926e-06,8.77454393499565e-07,-2.14142335883009e-06,1.02040356591965e-07,2.37659692324171e-07,7.85625268017333e-07,3.23884204164451e-06,2.99465239994937e-06,7.70063036157674e-06,3.44647080436906e-06,2.29605906414231e-07,2.77870774970038e-06,2.98307138426427e-07,-2.9928418538174e-06,-6.79902513712042e-07,-2.52528648643766e-06,-5.31175944380125e-05,-1.79888992741717e-05,7.28875011976292e-06,-0.000101937317573598
"kabwe","beta13",-5.21718303439489e-07,-1.73312566535496e-06,-1.48776845792622e-06,-3.81152166412737e-06,-7.97790585573109e-06,4.10749102551267e-05,-8.94391353456547e-06,-9.91237164187713e-06,-1.09070352130262e-05,7.98730614516932e-07,-6.84336744620214e-06,2.65728768867647e-06,-2.83692690120775e-06,-1.26677358608734e-06,6.83380662796512e-07,-2.37361505295879e-06,2.00299703261305e-06,1.04897362830189e-07,-2.10182928184086e-06,2.93858992676426e-06,-4.44987430315901e-06,5.00582202212664e-07,4.55865249998708e-06,1.40129621105174e-07,-5.70618417400849e-06,-4.76229695078216e-06,2.79514066840922e-06,-6.7384522343549e-07,-1.55781057780604e-06,3.12050087088916e-06,-2.63576958639111e-06,-1.97569916732635e-06,2.09487355189609e-06,-8.91603868991223e-07,-4.10364366312327e-07,3.18307418375867e-06,-5.11751480094763e-06,2.67893624533925e-06,-3.63489059343887e-07,3.44323422725883e-07,1.76909805644767e-06,1.91376776317815e-06,-5.84107532985134e-07,1.07512200240274e-05,-0.00015488190390638,9.66365176967026e-06,0.00012998852234033
"kabwe","beta14",-6.32090421864082e-07,5.36435969198114e-07,6.02324841030398e-08,-3.54863893870444e-07,-4.25310292494664e-06,-8.94391353456547e-06,5.11353482839766e-05,-1.28044181198047e-05,-9.63790647635278e-06,-6.94290722282016e-06,-4.01776884382805e-06,-7.42124012393698e-06,3.18542688685769e-06,-3.76742076177625e-06,7.55456185692413e-06,2.37741768104273e-06,-2.96904509237097e-06,7.46002467863716e-07,-9.13396415928429e-07,2.19579060353065e-06,2.36432998999368e-06,1.93398387443605e-06,-6.21764018446209e-06,-9.6681058226629e-07,-2.65111512357062e-06,3.26260170643373e-06,4.92004581150294e-06,-3.89624426976388e-06,5.02215768049414e-06,-8.15284989932611e-07,-1.54885944834334e-06,-3.97048579164258e-06,-9.5115130168383e-08,2.95583527620541e-06,3.08665222926086e-06,-3.13939134366331e-06,1.07982342945529e-06,-6.9036043458195e-06,2.81467716897258e-06,-2.29464482169392e-06,-3.45612423632045e-06,-2.88358297612603e-07,-1.33855857503989e-06,-7.65010550815846e-05,-0.000111095869794394,1.1627434264384e-05,9.87629503148289e-05
"kabwe","beta15",1.01177254629901e-05,1.15788844657016e-05,-8.54537175536195e-07,-3.62453691959931e-06,-5.8137007282356e-06,-9.91237164187713e-06,-1.28044181198047e-05,6.94192669132021e-05,-1.04096468074599e-05,-1.48851505563549e-05,-3.43046072388477e-06,-7.4361955425875e-06,3.34746119263077e-06,3.56410263927434e-06,-7.49498601145007e-06,-3.15406889707174e-06,5.01889804912679e-06,-3.61365982945872e-06,-1.04158009366271e-06,2.46461505414455e-06,4.29556881165924e-07,-7.22860861585594e-06,2.16685022619144e-06,1.9140005042859e-06,2.04381094712516e-06,-3.45084488421752e-06,-1.92969643668031e-06,3.41302887408884e-06,-6.32412956035537e-06,3.48882742136487e-06,-8.10509044847421e-07,3.54236492192669e-06,8.67135438122841e-07,-7.92605641234331e-06,-2.5596545210552e-07,-5.60976369190886e-06,6.20459351248447e-06,-5.71584183544792e-06,-5.41236532157205e-07,1.0848784164621e-06,-1.08250270385243e-06,-2.63196983677763e-06,1.00839550984858e-06,0.000266222820932998,0.000153902625560418,-3.34859527715428e-05,0.000326582176141373
"kabwe","beta16",-2.37345009784293e-06,-6.55631335860082e-07,1.31024906745566e-06,-2.76297619250043e-06,-1.31612768526954e-06,-1.09070352130262e-05,-9.63790647635278e-06,-1.04096468074599e-05,6.93374791977978e-05,-1.53125870919635e-05,-4.03784706438018e-07,-6.42742830658431e-06,1.64380759373306e-06,-5.12226883715516e-06,-8.50145082768137e-06,-7.84926667753614e-07,5.01455932416327e-08,6.71924779757662e-07,2.41922014925269e-06,-5.60888390169046e-06,3.30480449676205e-06,-6.98251778956918e-07,-4.85193319753237e-06,1.65749727699468e-06,7.59114481644975e-06,-3.97155488950965e-06,-1.35938880680313e-06,4.39922913966517e-06,-3.62881038696456e-06,-3.63910441686384e-06,-1.57619726504576e-06,1.75946910550719e-06,6.01018286977557e-06,-5.61462324447974e-06,-8.30484767893917e-07,7.17854796662232e-06,-1.89023170178364e-06,-1.41462587522662e-06,-4.02338050909695e-07,1.54226033514585e-06,-1.2054611662179e-06,-2.0964563803478e-06,1.84477525252989e-07,-8.49296993360311e-05,-0.000247605186384776,1.67150177703072e-05,-6.17128608470463e-05
"kabwe","beta17",-1.34274608268839e-05,-1.28486773177162e-05,2.66246740230225e-07,3.4948099490967e-07,-2.52693090260679e-06,7.98730614516932e-07,-6.94290722282016e-06,-1.48851505563549e-05,-1.53125870919635e-05,7.98373463892862e-05,-1.32609105611706e-05,-1.70467436669432e-05,-3.2511908172263e-06,-1.12077221316777e-05,3.08218676055116e-06,-2.45520770449101e-06,3.07717220542581e-07,-4.27164239728301e-06,1.41688091976999e-06,-2.69638242851912e-06,-4.13059378413527e-06,3.53129281723101e-06,-2.02637137727213e-07,-1.47068706317879e-06,-9.26585576351503e-06,8.0456320742166e-06,-4.15787946394565e-07,-6.76898203887849e-06,-1.71769226815864e-06,-2.81865410086974e-06,-2.07322117016381e-06,9.38817077143837e-07,-4.81546641017755e-06,5.22713204287065e-06,-1.73322639930341e-06,-7.86160845383647e-06,1.28291953202934e-06,6.22389226080541e-06,2.30309765187021e-06,1.67042888875008e-06,1.97814843649146e-06,5.3956666506275e-07,1.16515747021659e-07,0.000186569847111524,8.3028619082355e-05,-6.27679217857986e-06,-9.8321621149994e-05
