"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000205178395114647,-3.46856589193557e-06,-1.97918459477845e-06,-4.16417031543012e-06,-1.78294849032441e-06,-3.3970857600425e-06,6.70583557159872e-06,-1.73949442478379e-06,1.7725697182827e-06,-3.11941489921368e-06,-5.96833617752776e-06,-4.1164261852038e-06,-2.14795063695073e-06,-2.71490414473182e-06,4.73666404021123e-07,1.40893642328095e-05,2.50714693230959e-06,5.47147622930439e-06,-1.0987607848252e-05,-3.40969472590624e-06,5.09452839839999e-06,1.42245488907764e-05,-6.89945164829395e-06,2.46869190678288e-06,-1.97938578763462e-06,-3.345505123657e-06,-2.70513673545945e-07,9.86927621007496e-06,-1.12880860198372e-05,1.16620375735032e-05,-5.51281807089154e-06,-6.78722530082921e-06,-1.34870512741645e-05,-2.75299076400902e-05,-2.28896565202527e-06,-2.87685658857462e-05,2.20367706996474e-06,9.02354432531641e-06,-3.39908644743387e-06,1.35483245703633e-06,-4.12243773127127e-06,8.44414502914296e-06,5.63364188879673e-06,0.00039330143230136,0.000820975132891871,-7.73946964810762e-05,-6.41175621853423e-05
"kabwe","beta1",-3.46856589193557e-06,0.000120306453632756,-9.44400234861798e-07,-2.07248545271498e-06,8.12225514710636e-06,-1.35757146752379e-07,3.52990503722791e-07,8.07518317389567e-07,7.50310088873065e-06,-8.96718570133918e-06,3.92951052528475e-06,-4.08830525226845e-06,6.65265599725701e-06,-5.61433609744026e-07,8.9957404274618e-07,1.77786226638985e-06,2.17230387087867e-06,2.90706793131157e-06,-1.87384291930276e-06,6.01466225327746e-06,2.64577430940899e-06,-4.20787507242436e-06,-3.15127412504324e-06,1.87698347030729e-06,2.72185951584471e-06,-3.74153223717641e-06,1.13477289299114e-05,5.67479537422559e-06,3.09855693176353e-06,1.74002489550281e-07,-3.79297526155943e-06,9.73591049691891e-06,-2.59235250070699e-06,-5.54056979632203e-06,2.84079534594585e-06,-9.44637564510278e-06,3.22767719875562e-06,-4.64285847934237e-06,3.97852445918236e-06,-5.96056781181815e-06,-9.79070147067627e-06,-4.76690158048422e-06,-4.53382557828692e-06,-0.000257272804258625,-0.000117629182932221,8.54827866564293e-06,0.00198045948417588
"kabwe","beta10",-1.97918459477845e-06,-9.44400234861798e-07,3.2421651277871e-05,-7.69839097594519e-06,-7.17594528802788e-06,-1.36839443889959e-06,8.99287765524278e-07,-4.59601057822903e-07,-3.92480405028653e-07,2.01011141307825e-06,1.47432844163686e-06,3.75268964476548e-07,1.41503996345648e-06,4.02106463435444e-06,-9.36281253839322e-07,-1.51681066450195e-06,1.90978256870616e-06,-1.94159946470588e-06,3.96405179452833e-07,2.29208044071468e-06,1.75845373218379e-06,-7.07767621425066e-06,-6.3281018114893e-07,2.3042937440894e-06,3.19959511359295e-06,2.63960412452594e-06,-3.98332860494399e-06,2.79414136711404e-07,3.86965789359225e-06,-1.44718478126777e-06,-2.58184784192871e-06,1.68462495885151e-06,-1.36416953948056e-06,6.89124382350091e-06,-1.35591367509106e-06,1.2138180974243e-06,-2.45124317210975e-06,-3.96188529164475e-06,-1.60796778608608e-07,3.35374934926644e-07,-2.55633922260949e-06,-5.89182573839742e-06,-9.84232111058247e-06,4.73226295820353e-05,0.00010772973900302,-8.40221862602722e-06,7.2605788634394e-05
"kabwe","beta11",-4.16417031543012e-06,-2.07248545271498e-06,-7.69839097594519e-06,2.35671450256959e-05,-7.33442725612945e-06,-5.22724781238095e-06,-2.55992214000045e-06,1.67469268797281e-06,-1.65169414729422e-06,4.29269174458259e-07,7.48986649628547e-07,-1.86321371093252e-06,-1.46018141367944e-06,-7.01122275185507e-07,1.29272410841477e-06,6.29854646312325e-07,2.49829594638934e-06,3.97703182838099e-07,-3.5415735646394e-06,1.34927417052578e-08,-1.5237614007627e-06,1.56625637132839e-06,3.69112450993051e-06,5.34349434307851e-06,-4.72807217958419e-06,1.91242715406864e-06,-2.23027420889352e-06,-1.50827047945926e-06,-1.60960031000432e-06,-3.40321553083828e-07,2.14409315952106e-06,-3.32673019207508e-06,-1.01995556370542e-06,-1.79082881560372e-06,4.87035675760881e-06,-7.37464337792601e-06,-1.12322027277102e-07,1.29062086372488e-06,-1.18127567060332e-06,-3.34232719091714e-08,-2.55560790255526e-06,-2.23537189359703e-06,-3.37651370209712e-06,-7.66272380542455e-05,-0.000204941541277577,1.62475930244308e-05,0.000275164876632051
"kabwe","beta12",-1.78294849032441e-06,8.12225514710636e-06,-7.17594528802788e-06,-7.33442725612945e-06,3.72519096457531e-05,-1.02870942601115e-05,-8.60391483221517e-06,-5.86753433319426e-06,-2.43556614650043e-06,1.06290051297295e-06,6.27655832929614e-07,-1.59775239368957e-06,2.57216135471243e-06,2.17245227854972e-06,-1.67156021115014e-06,2.48655005247165e-06,9.53841955897414e-07,3.68901432329402e-07,-9.9882630058878e-07,-8.00019844012915e-07,-1.73513824100538e-07,6.82365419431929e-06,-6.37853035129858e-06,3.33096773682343e-06,7.34745633037052e-07,-1.40113988950396e-06,3.2866826071329e-06,9.04008305200144e-07,-2.96174846657543e-06,4.66338046294351e-06,-1.34714559557381e-06,-1.96001696787891e-06,1.67046095249787e-06,9.17579707414986e-07,-1.08849341898e-06,-8.01583522010159e-07,3.44023779600921e-06,-1.22190848809448e-06,1.32967671749653e-06,-1.34262894060695e-06,2.68229459417606e-07,-9.8256455119334e-08,-1.0971301158428e-06,3.85063105313416e-05,-5.85115396264125e-05,7.0204032133892e-06,0.000242372212943312
"kabwe","beta13",-3.3970857600425e-06,-1.35757146752379e-07,-1.36839443889959e-06,-5.22724781238095e-06,-1.02870942601115e-05,4.53233019968564e-05,-1.29022323606105e-05,-6.48591690967637e-06,-5.61963072344122e-06,-2.3055650296827e-06,-7.45058672268538e-06,-9.6076567083505e-07,1.50299181431297e-07,2.99802023614758e-06,-3.59219978592488e-08,-6.60703507725029e-07,-1.79386581408131e-06,3.62043868557004e-06,2.77829516308047e-07,-2.72183073396507e-07,-1.13275856429959e-06,3.71784445163189e-07,7.00879249880361e-06,-2.63198050494192e-06,-8.47746958975443e-07,-2.26363606483254e-06,6.91954670100691e-07,2.86137836166337e-06,-6.77046872679432e-06,7.65080002846409e-06,-1.92795801832666e-06,-1.83289892342101e-06,4.48632456071706e-06,1.74653212718708e-06,1.74637805805298e-06,-2.89029472840783e-06,-1.07775693426615e-07,-3.24054148006862e-06,-3.73227159929117e-07,-7.58888537551367e-07,-8.17793895989807e-07,1.62788909159605e-06,6.9795671607798e-07,-3.44225570847962e-05,9.97071814019537e-05,2.01919369655989e-07,-0.000564776065716623
"kabwe","beta14",6.70583557159872e-06,3.52990503722791e-07,8.99287765524278e-07,-2.55992214000045e-06,-8.60391483221517e-06,-1.29022323606105e-05,5.85437780404425e-05,-1.19741387297702e-05,-1.03913885970623e-05,-1.13134197641835e-05,-1.01965193409344e-06,7.25151466893253e-08,5.98348935515878e-06,-4.22875092325945e-06,2.18600373124696e-06,-3.26363891675066e-08,-3.21401260739049e-06,-1.8917081861524e-06,1.46019658359564e-06,-6.01219114219861e-07,2.16837176597097e-06,-1.04122378814637e-05,5.52819017207005e-06,2.04030932570722e-07,4.39019674980682e-06,-1.21252961547784e-06,-3.53194177587091e-07,-3.62325405889051e-06,6.03767816782024e-06,-8.25475038163998e-06,2.02578740302116e-06,5.7659436918522e-06,5.2006907207209e-06,8.3380087177572e-07,5.75994345053477e-07,8.6705831162521e-06,2.28154073737465e-06,-2.60514567433255e-06,-2.60594906412623e-06,5.3380717502534e-07,-5.10584455301482e-07,-3.23382682688902e-06,-8.44286449748585e-07,-5.39129443085873e-05,-0.000340004526997889,2.05887457476408e-05,0.000130918947186175
"kabwe","beta15",-1.73949442478379e-06,8.07518317389567e-07,-4.59601057822903e-07,1.67469268797281e-06,-5.86753433319426e-06,-6.48591690967637e-06,-1.19741387297702e-05,5.65077526768384e-05,-1.53152632588125e-05,-7.66520152657375e-06,-4.30510354941447e-06,-7.62786833456971e-07,-9.47802656563577e-07,-6.39915436316269e-06,-1.93687813927803e-06,-3.53413266611892e-07,-2.00669922481068e-07,-1.0433201126142e-06,-3.72473819858326e-07,1.98965252562006e-07,-2.31125294671549e-06,3.21716828583131e-06,-1.04697362522752e-05,-4.42743215967372e-07,3.8791122372002e-06,-1.24445777263864e-06,9.22400564911106e-08,-3.41315549413849e-06,-4.14746810401452e-06,3.51094711661243e-07,3.13039866141732e-07,-4.3903405650499e-07,-6.20484493727207e-06,-1.62836909918736e-06,-1.8444815305749e-06,-7.90581821991243e-08,-6.9785671250866e-07,4.72837046583097e-06,-9.76469684035866e-07,2.95357501220065e-06,-4.97367947760415e-08,5.82899359410314e-08,1.38027875835855e-06,0.000148539049235193,5.82282319831726e-05,-7.87292262650467e-06,5.04971323685165e-05
"kabwe","beta16",1.7725697182827e-06,7.50310088873065e-06,-3.92480405028653e-07,-1.65169414729422e-06,-2.43556614650043e-06,-5.61963072344122e-06,-1.03913885970623e-05,-1.53152632588125e-05,7.03942379834457e-05,-1.03334652990991e-05,-1.32844247977452e-05,-2.26140710768248e-06,-3.13593166899171e-06,-5.12072931086762e-06,-3.58168570927566e-06,4.27137918520815e-06,-3.35003995583194e-06,3.08408985983373e-06,1.653469474067e-06,-1.89110513066841e-07,1.6424119832985e-06,-4.84827013769726e-06,4.05399608781736e-06,5.4787197602839e-07,-6.15246245553393e-07,-5.11256225337159e-06,3.81614665980303e-06,5.05328594408505e-06,3.48146005004577e-07,-4.38379134697757e-07,3.45421030720702e-07,5.72019726054485e-06,-8.76747847017932e-07,-1.49562226628949e-06,-2.04876712823702e-06,-3.19576360462225e-06,5.41813811788231e-07,-4.31039836778473e-06,6.6850537376346e-06,-1.99657749314758e-06,-1.59939865514042e-06,1.6874322662633e-06,1.68089356513739e-06,-1.5029934281403e-05,-0.000119541635984793,-8.01917530321483e-06,0.000278275975533985
"kabwe","beta17",-3.11941489921368e-06,-8.96718570133918e-06,2.01011141307825e-06,4.29269174458259e-07,1.06290051297295e-06,-2.3055650296827e-06,-1.13134197641835e-05,-7.66520152657375e-06,-1.03334652990991e-05,8.04329460247716e-05,-2.3304304762821e-05,-1.67711610100449e-05,-5.02342497105806e-06,-5.25881797118212e-06,-8.37526398437293e-07,-4.69438775972744e-06,5.44086929017408e-06,-1.23141141599534e-06,-2.32650386861846e-06,1.12156176853822e-06,2.83835416346449e-06,6.70704217423278e-06,-1.58677875049295e-06,-3.09254887828067e-06,-9.51230331981216e-06,1.61194886758195e-06,3.42042868792068e-07,2.14296109326837e-06,-3.53225183219217e-06,2.23531611895591e-06,1.04529422930584e-07,-3.35226723520404e-06,1.98590664904439e-06,-2.11096966727465e-06,4.66788846309049e-06,-1.5521203424324e-06,-1.20620960166604e-05,7.03078698758884e-06,3.96286782266088e-06,1.1130565548584e-06,2.40319340899682e-06,-2.80010443918569e-06,-2.14718572258404e-06,3.59268063691599e-05,9.74072455893728e-05,8.5260466459895e-06,-0.000243558333702018
