"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000219773040630784,4.10418365381253e-06,-6.2017496505869e-06,1.97412738810007e-06,2.94520334347599e-06,-1.19333613083002e-05,-7.69346974062936e-06,2.13036840816065e-07,4.1554827110044e-06,-7.16970428269982e-07,1.63915846779376e-06,-7.9559744031121e-06,-4.45482897875761e-06,9.59071042957817e-06,4.71524633209054e-07,9.9015663343352e-06,8.81080273543851e-06,7.91426080473059e-07,-4.87063065852135e-06,-3.97237661504276e-06,6.99317065237908e-06,7.95726396625292e-06,-4.16379767713661e-06,3.65276429971658e-06,8.8579238119918e-06,-2.83186443210821e-06,1.83810764299208e-06,7.45235352121493e-06,-7.80533118643663e-07,-2.25528112086051e-06,1.05859408717961e-05,-1.50653711585365e-06,5.26648473321496e-06,-2.29041302839431e-05,-7.32365823415317e-06,-2.46736370728273e-05,-6.8456359743488e-06,-1.3522197913536e-05,-1.74197266377966e-07,3.58395291036115e-06,3.59183614448653e-06,4.47121838021518e-06,-5.02799937731523e-07,0.000228852869476297,0.00111547817543973,-0.000105618065228836,-0.000367220109853547
"kabwe","beta1",4.10418365381253e-06,0.000108313675803528,-3.60307832508383e-06,9.23002758791536e-07,2.81775539304995e-06,2.56458783946119e-06,1.95045803895423e-06,2.08793263354563e-07,6.11743022986606e-06,-6.80403678200911e-06,1.22449003163771e-07,-1.68488888957737e-06,5.13185158971815e-06,-3.73620023181188e-07,-1.14092777941867e-06,-5.99597698692049e-07,1.16053331771605e-08,-7.98542529682666e-07,-1.63457139807148e-06,1.70300659466613e-06,-2.86451479954782e-07,8.58686324594072e-07,-9.94603553867452e-06,5.36219200548489e-06,-1.82801276225976e-06,7.88137451085515e-06,-1.04970487307286e-06,-1.91763416804134e-06,3.46582043107053e-06,-6.3901867133381e-06,1.0979751420279e-06,3.26352090008995e-06,-7.78810622023998e-06,-8.45904806656817e-06,-3.71319350997821e-06,6.92315838533532e-06,-7.12408533180537e-06,-6.98784633345856e-06,-9.87421785998612e-06,-6.80417708794762e-06,2.8126179606042e-06,5.29148885751727e-07,-2.56406968853714e-06,0.000153605134232149,-7.83257016636315e-06,4.1579728222455e-06,0.00147848820877597
"kabwe","beta10",-6.2017496505869e-06,-3.60307832508383e-06,3.16974379981443e-05,-8.9973317545418e-06,-3.45634605315032e-06,-3.47537926568063e-07,-1.62903068001647e-07,1.09210291982956e-06,8.32768194711126e-07,1.8083245779964e-07,1.42081173334897e-06,-1.38611318199805e-06,1.10282082570895e-06,1.39105620156555e-06,3.5464151172194e-06,-5.18708689222217e-07,-3.48561668040654e-06,1.36100948050904e-06,-2.82331213135967e-06,3.23346346414915e-06,-2.33061779008998e-06,2.75164929973994e-07,1.40330401276333e-06,3.56801283870947e-06,4.20853922107826e-07,-4.24908634296232e-06,1.32963904772473e-06,-5.22866693536445e-06,9.85827415257009e-07,8.91952657504715e-07,-6.79317160888066e-09,2.57066240924736e-06,4.93139499953171e-06,-2.07464151945522e-06,4.8699727052084e-08,3.69288948295207e-07,1.33894524406969e-05,2.50781198637146e-06,4.64474473287836e-07,-8.09121664005949e-07,-1.21601736807234e-06,-6.54031201522978e-06,-1.143362447751e-05,5.69846720391543e-05,-0.000164766781442191,-4.40199283605115e-06,6.82697147371093e-05
"kabwe","beta11",1.97412738810007e-06,9.23002758791536e-07,-8.9973317545418e-06,2.11551916394994e-05,-6.47301218344049e-06,-2.26142556293952e-06,-2.93319762478297e-06,-3.05830723324698e-07,-6.50141178758645e-07,3.0542036376465e-07,1.31910668059897e-06,-7.25194796585504e-07,2.98395939923535e-06,-1.11976780334307e-06,-2.20977309652556e-06,2.99625418934733e-06,-7.43100856241591e-07,2.61541290190344e-06,-1.16550050697841e-06,-9.05116629954608e-07,-1.18919159646441e-06,6.13959269530137e-07,3.26998560337492e-06,4.41837062155196e-06,-1.31450751463469e-06,-4.14324866612256e-07,-1.51397355201751e-06,9.172062031693e-08,3.92523495813541e-06,-5.65501100629322e-06,1.18321572149108e-06,-2.58475891103827e-06,2.21548798543991e-06,-1.64356116068078e-07,-7.84111912964516e-08,-4.78951378548143e-06,-5.39689226971511e-06,1.02637878732194e-06,-2.4713248974416e-07,-1.98094041452413e-06,-3.00238238276615e-06,-1.22251157791957e-06,-1.73019514374105e-06,-0.000123504215028243,-0.000176557398826143,3.09497834723902e-05,-0.000189127514337571
"kabwe","beta12",2.94520334347599e-06,2.81775539304995e-06,-3.45634605315032e-06,-6.47301218344049e-06,2.94635367947713e-05,-1.04267777451229e-05,-5.15442313446577e-06,-4.80344603445418e-06,-3.73987931939928e-06,-1.80127455161938e-06,-1.48427473597669e-06,1.15806950217724e-06,2.04156722275257e-06,9.23851872785199e-07,4.89313871214841e-06,-5.58696937913555e-07,-1.38818056457583e-06,3.18236127909892e-06,1.90388554832723e-06,-1.3028828322893e-06,3.60278538745217e-07,-4.5876451988106e-07,-1.62979172515664e-06,-9.4496547956325e-08,3.77035389851501e-06,2.69597148167629e-06,-2.19790040904954e-06,2.21979170223146e-06,1.37009937638291e-06,3.37135085960978e-07,2.22767144563473e-06,-7.31739957148564e-07,-3.37355176289852e-07,9.85584483004664e-07,-7.71826964509194e-07,5.72949138766322e-06,-4.07103421202644e-06,8.50418569368244e-07,-6.19880575191471e-07,6.84911268861471e-07,2.01279884043854e-06,-4.57658021813509e-07,-8.35562445098773e-07,-2.70373004146242e-05,-9.34371692765837e-05,1.14421418589867e-05,0.000187511372403085
"kabwe","beta13",-1.19333613083002e-05,2.56458783946119e-06,-3.47537926568063e-07,-2.26142556293952e-06,-1.04267777451229e-05,4.91793941616894e-05,-1.62847767370281e-05,-9.4115259096929e-06,-2.82783996855552e-06,-6.82350256324987e-06,-2.09062676773774e-07,-3.4732354447838e-06,-8.95183369461838e-07,2.23088446253781e-06,-8.73283731101046e-07,8.77975655128457e-07,1.32113588514801e-06,-1.22970774525279e-06,-2.67184488798353e-07,-2.00989318649297e-06,5.40466583861645e-07,-5.42287700873041e-07,3.32651873274631e-07,-2.84978485820655e-06,-2.69112727956942e-06,4.65426991018137e-06,-1.65529074496358e-06,-3.2158876034468e-06,-2.94665921158974e-07,2.93779347942135e-06,-4.54123692233356e-06,3.37364156745271e-06,-7.28881604258127e-07,-1.20548006093643e-06,8.87100243554025e-07,-2.50970916538981e-06,-3.73709481246345e-06,-5.01406150945675e-06,3.84692660923382e-06,2.46556763810466e-06,-4.27041265343875e-06,8.2221918324092e-07,-3.2719226073455e-07,-2.32583824492057e-05,-0.000211861939359313,2.58103408702136e-05,0.000198733232335316
"kabwe","beta14",-7.69346974062936e-06,1.95045803895423e-06,-1.62903068001647e-07,-2.93319762478297e-06,-5.15442313446577e-06,-1.62847767370281e-05,6.77448935195341e-05,-1.66648762007692e-05,-1.57268080198494e-05,-4.4586321529353e-06,-1.35431695323088e-06,3.37908408719415e-06,-3.61788862431356e-06,-3.75841088723843e-06,-4.28778692037882e-07,-2.65331390532053e-06,-3.58745912854773e-06,3.35614879377547e-07,-3.22608183301726e-06,-8.04161143084835e-07,-4.58004846044737e-06,4.11297182684459e-06,-3.21612697482185e-06,-2.59137956815858e-06,-4.58582754729822e-06,-9.38725464166972e-07,-4.72929560513633e-06,-4.17074325756264e-06,-3.55933640733587e-06,-5.04912399579609e-06,2.93209667308703e-06,-4.23790104779099e-06,5.98871030285834e-07,-6.69792183910677e-06,2.93035480079926e-06,-4.0092836079742e-06,4.9395501554989e-07,6.94252379261246e-06,-2.56901516384397e-06,3.01079583700025e-06,3.55277293334882e-06,-1.71013864477123e-06,-1.79130257731925e-06,0.000271637004872594,-6.03713753621324e-05,-1.48646825767421e-05,-0.000610078149856855
"kabwe","beta15",2.13036840816065e-07,2.08793263354563e-07,1.09210291982956e-06,-3.05830723324698e-07,-4.80344603445418e-06,-9.4115259096929e-06,-1.66648762007692e-05,5.55567461506595e-05,-1.19236086150269e-05,-3.02400288846139e-06,-6.47942926541314e-06,-3.62245855245221e-06,1.20701707730797e-06,2.24129671019263e-06,8.86796876977256e-07,-1.56411156459932e-06,1.18461616685883e-07,-7.3878067169606e-07,5.47809219391954e-06,2.20558015492372e-06,1.76414360752967e-06,-2.58428377936238e-06,-2.46581770829549e-06,1.5196304574713e-06,6.97669489577265e-06,-2.78415042426166e-06,-2.85865026279566e-06,5.9383458286089e-06,6.59147872584037e-06,-2.88584581078884e-06,4.21803481484916e-07,-6.05786680951275e-08,-1.77623306663745e-06,1.68590249831061e-06,-2.78815889816452e-06,6.621820400739e-07,5.08989208875175e-07,-7.44958757476249e-06,-3.89301645249245e-07,-2.0058100804566e-06,1.22218465688302e-07,2.01568610239884e-06,1.79731799186115e-06,1.50675602109848e-05,0.000246534975433699,-1.94172782165639e-05,-0.000275949240251191
"kabwe","beta16",4.1554827110044e-06,6.11743022986606e-06,8.32768194711126e-07,-6.50141178758645e-07,-3.73987931939928e-06,-2.82783996855552e-06,-1.57268080198494e-05,-1.19236086150269e-05,6.53538744708494e-05,-1.45803399260232e-05,-5.94631672748635e-06,-5.89295970259072e-06,7.82642617081715e-06,-8.34477291752636e-06,-1.24243040616869e-06,1.23460704428353e-06,4.60624442290377e-06,-3.38706069185777e-06,-1.50630855573646e-07,1.78468264281896e-07,-3.11505447715837e-06,-1.00240615915119e-06,5.24184905963213e-06,1.1617713798676e-06,-5.57711946345649e-07,-7.06633583166312e-06,7.35011738308517e-06,-4.47431701044867e-06,-8.83313878255319e-07,2.57653285485565e-06,-1.6026929762634e-06,1.95600091716413e-06,-5.52783363990247e-06,4.35902306899108e-06,-1.52830843706456e-06,7.97592098604608e-06,8.39885715201889e-06,4.70529299528049e-06,2.66968387809471e-06,-4.71372842561822e-07,-3.85480304744059e-06,-1.42473652461518e-06,-1.61244043585505e-06,-2.88537731457207e-06,-4.51043761771963e-06,-1.09026633802361e-05,0.000468974164726543
"kabwe","beta17",-7.16970428269982e-07,-6.80403678200911e-06,1.8083245779964e-07,3.0542036376465e-07,-1.80127455161938e-06,-6.82350256324987e-06,-4.4586321529353e-06,-3.02400288846139e-06,-1.45803399260232e-05,7.00358895695625e-05,-1.58351840373139e-05,-1.44052043385943e-05,-1.86275302764894e-06,-5.09071565303267e-06,-5.42990417059483e-06,-1.23811640803946e-06,-9.71485731562605e-07,-1.00750507200481e-06,2.81963348530693e-07,-2.92021844298593e-06,2.34857505357519e-06,-7.34227379560815e-07,2.85986686824607e-06,1.94910369689323e-06,-5.31593195553741e-06,3.77671923916051e-07,4.34625468652791e-06,-4.62174666075497e-07,-1.13538101769351e-05,6.028119302723e-06,-9.73482825940832e-08,-5.11485526792917e-06,8.41512974325228e-06,2.01042779161275e-06,3.49681739538166e-06,-6.55996390699128e-06,9.45935923653414e-08,-3.6212803062295e-06,-3.51845109169253e-06,-3.06865462216325e-06,2.3494422584909e-06,1.24509126323565e-06,1.90716739805984e-06,9.98503119965552e-05,-9.68343582765922e-05,1.67756979698246e-06,0.00044159658303309
