"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000190611528597845,2.87626906703391e-06,-1.86710931742456e-07,-3.30634430909697e-06,-1.75411446871356e-06,1.27879590721958e-07,-6.1741218754636e-06,2.75350608630887e-06,1.71269216340523e-06,-2.77285512348467e-06,-3.60600982332734e-06,4.73949542298872e-07,-2.83524321314894e-06,-8.95540868844061e-06,5.17246234630661e-06,1.55824495213767e-05,6.17140441052135e-06,3.34756538912532e-06,-4.76134971010501e-06,8.13368323972201e-06,4.76107963112698e-06,-3.91352493216526e-06,8.2085921689085e-06,-3.01889172266064e-06,3.56579506997059e-06,-2.2697782260005e-06,-4.69253108644936e-07,1.97889136026676e-05,-2.05858569356223e-06,8.28117044208331e-06,8.12609576513679e-06,-3.96765380107207e-06,4.47106274486416e-06,-3.71873683193962e-05,-3.54031164050787e-06,-1.06986706277243e-05,-7.82566318585342e-06,-9.84222182002869e-06,-1.252586482084e-07,3.23169603958476e-07,-9.31564489297506e-07,6.24370210925407e-06,5.84925067704058e-06,-8.14464588595714e-05,0.000595592224786446,-6.4089956649662e-05,-0.000195939502586158
"kabwe","beta1",2.87626906703391e-06,0.000111500217108314,-6.51251878098578e-07,3.24562073945477e-06,9.13854960522104e-07,-2.80833210324265e-07,3.02752588538136e-06,-3.52121472602438e-06,1.68225404549582e-06,6.74849255372437e-07,3.70953467190256e-06,-1.03425883004848e-05,3.90713546048094e-06,3.45074434806172e-06,-2.69508375065657e-06,2.66242153009601e-06,1.90283436747187e-06,-4.81583669979616e-06,4.17144201413951e-06,3.9605972988803e-06,-1.92127734144505e-06,-2.57641150152341e-07,-9.8491586557914e-06,6.81199925074613e-06,-7.62640267919682e-06,9.8501946409584e-06,5.35007949559414e-06,1.21216429781342e-06,2.42165283947483e-06,3.18193458547892e-06,-2.43205275324086e-06,5.56403668985251e-06,1.05526501773574e-05,-1.23225804355976e-06,-3.14384268086473e-06,-7.35319903675833e-06,-7.00000929453821e-06,9.27282805108588e-07,-6.27470064355354e-06,-4.03299103865442e-06,-5.26445670513187e-06,-3.69970506575832e-06,9.99257400063526e-07,5.66079381304422e-05,-6.30218570578738e-05,6.50071874526582e-07,0.00248455460682741
"kabwe","beta10",-1.86710931742456e-07,-6.51251878098578e-07,2.99861503771172e-05,-8.88698769546326e-06,-3.96200501106195e-06,1.80398090019654e-06,1.36431289436361e-06,-2.71429761131142e-06,1.06596880102782e-06,-2.75314005105007e-06,1.79426681507257e-06,4.8262346217084e-07,2.92134757687049e-06,1.8611312111843e-06,3.17505117041249e-06,-1.09366823143026e-07,7.3161451123304e-07,1.53105632920563e-06,-6.56159864043813e-07,-1.96174930220157e-06,8.96467986520217e-07,4.04924116562467e-06,-1.48407597444214e-06,2.54734888904234e-06,4.53844984312418e-07,2.31863313467541e-06,-3.75238175210538e-06,-3.55181698144456e-07,4.15597436745761e-07,-1.22951146916793e-06,1.25140683700087e-06,1.32043688036028e-06,-1.89449742584049e-06,-1.11615209288091e-06,-1.17798737278967e-06,-1.64855714703943e-06,-3.45953650091115e-06,5.41392500361124e-07,6.58363873701022e-07,7.36652400531683e-07,-4.95908911986273e-06,-5.37631244399236e-06,-7.7546159551642e-06,7.82213792772252e-05,0.000103696335440472,-6.98792991203966e-06,-0.000204052627674396
"kabwe","beta11",-3.30634430909697e-06,3.24562073945477e-06,-8.88698769546326e-06,2.50726476920515e-05,-7.95869593428385e-06,-6.50560276070037e-06,-3.67589524722166e-06,-4.77932923462161e-07,-9.0024446526489e-07,9.84620007434482e-07,-2.14640155071167e-06,4.58459526503748e-06,-4.8308548332844e-07,2.46787927226433e-06,-2.90903923605145e-06,1.94235774226555e-06,-9.64537880405161e-08,7.7709024568612e-07,-8.03805062457519e-07,2.08362641514709e-06,-3.13732185328672e-06,3.13282217733326e-07,5.74524055195612e-07,-9.47284258545818e-08,1.20412138075959e-06,-1.30917843500412e-06,2.94882570485869e-06,-4.37087419304848e-07,7.70204026529637e-07,-8.99934630898494e-07,-5.59799657497278e-08,-1.46770697902854e-06,-1.05498269380613e-06,-1.98515892823715e-06,4.95883335217064e-07,4.90502427720578e-07,2.86362197767623e-06,7.49405027184892e-07,-2.00155464697182e-06,2.04894760446036e-06,1.24184411988446e-06,-8.45783339473111e-07,-3.40177227552723e-06,-7.7902164816316e-05,-6.39685333899922e-05,1.4127442160858e-05,1.85890262778969e-05
"kabwe","beta12",-1.75411446871356e-06,9.13854960522104e-07,-3.96200501106195e-06,-7.95869593428385e-06,3.513963104629e-05,-1.18564662303775e-05,-9.17875440912195e-06,-3.07389740184324e-06,-1.31806500730628e-07,-1.78395330894244e-07,-1.05454971913405e-06,-1.60752895378939e-08,1.91268412376974e-06,-2.07206990164607e-06,-1.17811937142974e-06,3.42031541915181e-06,-3.14021115397529e-06,3.77620991661125e-06,-8.41630718169568e-07,-8.63469407501181e-07,3.95375167757339e-07,-4.08902416203476e-06,7.85499079532365e-07,-5.71053393885774e-07,6.45057181483278e-07,4.71417669460386e-06,-1.88382176452695e-06,-2.84818158897111e-06,2.1621990644295e-06,-1.94239149290107e-06,-1.45110292764577e-07,-1.21895900245526e-06,1.90929673412334e-07,4.53050640640033e-06,6.5502473070512e-06,3.1405969245317e-06,-4.02027208988584e-06,5.46192354569376e-06,1.83417074785085e-06,-2.21276161903845e-06,-5.34925949752366e-07,-3.10346927135725e-06,-1.9144068904551e-06,-3.79461176409307e-06,-0.000155693990556843,1.33064510037683e-05,0.000364422027739813
"kabwe","beta13",1.27879590721958e-07,-2.80833210324265e-07,1.80398090019654e-06,-6.50560276070037e-06,-1.18564662303775e-05,4.59339916389789e-05,-7.99200687510648e-06,-6.96565444104113e-06,-7.68156575189559e-06,-3.34132197588051e-06,-1.24314755073879e-06,-4.14864222790128e-06,1.68031206406343e-06,-2.12825292691697e-06,2.07767257924815e-06,-4.31957846362044e-07,2.80735139783514e-06,-4.54964310052605e-06,-8.18090551465991e-07,-6.03409548739196e-07,1.82222470999753e-06,-6.93651699922052e-07,2.19970328050267e-06,-7.06697685322901e-07,-2.26968601323929e-06,-2.55843380915791e-06,-5.40253167751556e-06,-1.02850825611386e-07,-7.26756459357937e-07,3.16973414927858e-07,-3.45105574223284e-06,9.48523725495363e-07,1.50638104571646e-06,-2.8033025183676e-06,-1.53105203019201e-06,6.46243241107825e-06,1.2450988469787e-06,2.3302844286108e-06,2.72034807362849e-06,-1.41393467939733e-06,-1.68204963580849e-06,-2.41640753822664e-08,8.58447917092678e-07,4.9991998595688e-05,1.96564887487818e-05,-1.13299734764469e-06,-0.000252896282746206
"kabwe","beta14",-6.1741218754636e-06,3.02752588538136e-06,1.36431289436361e-06,-3.67589524722166e-06,-9.17875440912195e-06,-7.99200687510648e-06,5.11876198179881e-05,-1.08664247417706e-05,-9.11911531823997e-06,-4.44814342412248e-06,-3.94113674465201e-06,-8.10837970594415e-07,2.35222155198455e-06,-4.2608635923166e-06,2.77936560514392e-06,-4.54598185773722e-06,8.43449082958876e-07,-1.05428953019545e-06,-6.00349035033858e-07,-1.98064888971735e-06,2.18049484030361e-07,3.51117246997192e-06,-1.82992152075448e-06,3.50131909617444e-06,-7.34368003973971e-06,-1.25301860940947e-06,3.07150033155309e-06,-2.28422675438018e-06,-3.12807497217712e-06,-3.01162433312392e-06,4.22676678272912e-06,3.50269221859123e-06,-5.50942551148057e-06,-9.19003974209415e-06,-1.0673057145203e-06,-8.66039368594963e-06,1.59145954824355e-06,-1.69627682744308e-06,-3.14008551295381e-06,1.0811063969892e-06,6.11265898988535e-08,-2.01954184278725e-06,6.96373438266062e-07,0.000194786343487253,8.95771590525343e-06,-1.35332153253857e-05,5.26197038553266e-05
"kabwe","beta15",2.75350608630887e-06,-3.52121472602438e-06,-2.71429761131142e-06,-4.77932923462161e-07,-3.07389740184324e-06,-6.96565444104113e-06,-1.08664247417706e-05,5.79637361757582e-05,-1.4497604615731e-05,-9.1213212129366e-06,-5.64795713598265e-06,-5.33454883998101e-06,2.05414427499437e-06,1.93050910972687e-06,-4.90249718428268e-06,-2.19658221190192e-07,1.00275709024735e-06,2.25892395986519e-06,4.01083043418155e-07,1.56783916763921e-06,2.36769699115897e-06,-2.78798596955164e-07,-2.63768683088572e-06,1.91200649281116e-06,9.25101226871361e-07,3.74411877023437e-06,-6.36823307886381e-07,1.47720579564274e-06,7.23190049835677e-06,-2.77034986235873e-06,4.42441315896071e-06,-7.34614670845069e-06,4.92882749426617e-06,4.35418761751397e-06,-1.1592316895866e-06,-8.69170168424107e-07,4.48378751151142e-06,-4.74788698923502e-06,-2.97013146768254e-06,-3.05323313830788e-07,2.27648155249236e-06,2.34122765327003e-06,-2.10506764611285e-06,-1.46614223088132e-05,3.15623738727556e-05,2.67151807519706e-06,-0.000319838013127705
"kabwe","beta16",1.71269216340523e-06,1.68225404549582e-06,1.06596880102782e-06,-9.0024446526489e-07,-1.31806500730628e-07,-7.68156575189559e-06,-9.11911531823997e-06,-1.4497604615731e-05,6.84676020071786e-05,-1.68645452555253e-05,-1.08550076408551e-05,-3.13943638843706e-06,-1.38005110671059e-06,-2.12302955412085e-06,-3.01016261486249e-06,-2.10421737925268e-06,-1.12495301242918e-06,-1.37582321791686e-06,6.95976365750372e-06,-3.26694719691094e-08,-2.90238811596255e-06,-8.0184924684944e-07,2.00743117491471e-06,1.54255631879006e-06,5.21432847531333e-06,-5.85789359417027e-06,2.67541611629418e-06,8.39665369309953e-06,-7.28191442845714e-06,5.85584394875057e-06,-1.34812185124621e-06,5.7370064206018e-07,9.55893327090447e-07,-4.26374907254663e-08,2.59045900712933e-06,9.51392626656475e-07,-5.88629498473857e-06,-2.74294319457022e-06,-2.58445488226829e-06,5.3127754943839e-07,-5.04894276735198e-06,2.7693606902529e-06,2.3956852303519e-06,0.000160701040313211,3.57109712842194e-06,2.09513343776965e-06,0.000417946345481561
"kabwe","beta17",-2.77285512348467e-06,6.74849255372437e-07,-2.75314005105007e-06,9.84620007434482e-07,-1.78395330894244e-07,-3.34132197588051e-06,-4.44814342412248e-06,-9.1213212129366e-06,-1.68645452555253e-05,7.18133555974658e-05,-1.29642778441095e-05,-1.02426089929991e-05,-1.55196997815278e-06,-1.01681690857834e-05,-7.22952784362939e-07,-4.64909866479648e-06,3.03440193379304e-06,-5.396257846884e-06,3.36431571849217e-07,-4.98136583594819e-06,2.66573406122412e-06,4.41109656352299e-06,-3.67777308327714e-06,3.10111821036924e-06,-4.18572299232567e-06,-9.31988420220044e-07,-2.96432227433365e-06,-5.96901964002534e-06,-4.65961134437949e-06,4.51322801423407e-06,9.73086041572117e-07,3.72324730130361e-06,-4.66266338065127e-06,2.39321619393873e-06,9.63746240472917e-08,-8.99284056121598e-07,2.38850298919217e-06,-2.19817091796353e-06,1.43382602483387e-06,-2.29179693509837e-06,1.29113475325768e-06,-1.54145574610096e-06,1.03967863660981e-06,0.000229447524725733,-0.00021043803382975,-7.74633145469649e-06,4.90443681812549e-05
